LOVE IS HERE TO STAY;date;label;Tony Bennett , Diana Krall
THE PROPHET SPEAKS;date;label;Van Morrison
LET'S BE FRANK;date;label;Trisha Yearwood
MY WAY;date;label;Willie Nelson
BLUE WORLD;date;label;John Coltrane
BOTH DIRECTIONS AT ONCE: THE LOST ALBUM;date;label;John Coltrane
IT'S THE HOLIDAY SEASON;date;label;Martina McBride
TRUE LOVE: A CELEBRATION OF COLE PORTER;date;label;Harry Connick, Jr.
THE CAPITOL STUDIOS SESSIONS;date;label;Jeff Goldblum , The Mildred Snitzer Orchestra
HOLLYWOOD AFRICANS;date;label;Jon Batiste
IN THE BLUE LIGHT;date;label;Paul Simon
MUSIC BOOK VOLUME III: MAGNIFICENT;date;label;Mel Holder
THE HIGHEST ACT OF LOVE;date;label;Norman Brown
IT'S THE GREAT PUMPKIN, CHARLIE BROWN ;date;label;Vince Guaraldi
12 LITTLE SPELLS;date;label;Esperanza Spalding
IMMIGRANCE;date;label;Snarky Puppy
OPEN ROAD;date;label;The Rippingtons , Russ Freeman
RUBBERBAND;date;label;Miles Davis
GREEN BOOK;date;label;Kris Bowers 
FOLLOW THE LEADER;date;label;Jonathan Hay, Benny Reid , Mike Smith
MUSICAL PROPHET: THE EXPANDED 1963 NEW YORK STUDIO SESSIONS ;date;label;Eric Dolphy
HEAVEN, EARTH;date;label;Kamasi Washington
CHRISTMAS AT NOTRE DAME ;date;label;Arturo Sandoval
BOTH DIRECTIONS AT ONCE: THE LOST ALBUM;date;label;John Coltrane
ULTIMATE CHRISTMAS;date;label;Frank Sinatra
MY WAY;date;label;Willie Nelson
YOU'RE DRIVING ME CRAZY;date;label;Van Morrison, Joey DeFrancesco
VERSATILE;date;label;Van Morrison
IN THE BLUE LIGHT;date;label;Paul Simon
THE CHRISTMAS WISH;date;label;Herb Alpert
HEAVEN, EARTH;date;label;Kamasi Washington
20TH ANNIVERSARY CHRISTMAS;date;label;Dave Koz, Friends
HONESTLY;date;label;Boney James
TURN UP THE QUIET;date;label;Diana Krall
HARMONY OF DIFFERENCE;date;label;Kamasi Washington
STANDARDS;date;label;Seal
DAVE KOZ, FRIENDS: SUMMER HORNS II FROM A TO Z;date;label;Dave Koz,Gerald Albright,Rick Braun,Richard Elliot,Aubrey Logan
COLORS OF LOVE;date;label;Brian Culbertson
THE FINAL TOUR: COPENHAGEN, MARCH 24, 1960;date;label;Miles Davis , John Coltrane
THE FINAL TOUR: THE BOOTLEG SERIES, VOL. 6;date;label;Miles Davis , John Coltrane
SOUL SIDE OF TOWN;date;label;Tower of Power
HOLLYWOOD AFRICANS;date;label;Jon Batiste
NAT KING COLE , ME;date;label;Gregory Porter
LAID BLACK;date;label;Marcus Miller
RANKY TANKY;date;label;Ranky Tanky
VANISHED GARDENS;date;label;Charles Lloyd , The Marvels , Lucinda Williams
MMIII;date;label;Tadric Jermaine
TURN UP THE QUIET;date;label;Diana Krall
SIMPLY CHRISTMAS;date;label;Leslie Odom Jr.
TONY BENNETT CELEBRATES 90;date;label;Tony Bennett
JE DIS OUI!;date;label;Pink Martini
PARKING LOT SYMPHONY;date;label;Trombone Shorty
THE ART OF ELEGANCE;date;label;Kristin Chenoweth
TAKE ME TO THE ALLEY;date;label;Gregory Porter
BEL HOMMAGE;date;label;Patti LaBelle
HONESTLY;date;label;Boney James
THE ESSENTIALS;date;label;Scott Bradlee's Postmodern Jukebox
MMIII;date;label;Tadric Jermaine
CHRISTMAS WITH JON BATISTE;date;label;Jon Batiste
THE WAY OF A WOMAN;date;label;Jan Daley
