THE EPIC (ALBUM);date;label;Rough Trade,Miss Understanding,Miles Mosley,Ronald Bruner,Brandon Coleman,Cameron Graves,Igmar Thomas,Seth Colter,Will Hermes,Guardian News,Jon Dolan,Rob Sheffield,Charles Holmes,Christian Hoard,Joseph Hudak,Suzy Exposito,David Browne,Hank Shteamer,Claire Shaffer,Brenna Ehrlich,Jonathan Bernstein,Jon Blistein,Nick Catucci,Brendan Klinkenberg,Danny Schwartz
THE FAMOUS 1938 CARNEGIE HALL JAZZ CONCERT;date;label;Benny Goodman,Hollywood Hotel,Busby Berkeley,Isaac Stern,Count Basie,Duke Ellington,Teddy Wilson,Lionel Hampton,Gene Krupa,Louis Prima,George Koenig,Babe Russin,Hymie Shertzer,Chris Griffin,Ziggy Elman,Vernon Brown,Harry Goodman,Martha Tilton,Johnny Hodges,Cootie Williams,Buck Clayton,Bobby Hackett,Freddie Green,Walter Page,Loch Lomond,Bei Mir Bist Du Shein,Dizzy Spells,Jon Hancock,Fish Publishing,Catherine Tackley,Ray Charles
FAR EAST SUITE;date;label;Duke Ellington,Brad McKuen,Him Bill,Herbie Jones,Cootie Williams,Chuck Connor,Johnny Hodges,Jimmy Hamilton,Paul Gonsalves,Rufus Jones,Ellington Indigos,Edward E.,Edward G.,John Coltrane,Soul Call
FINGERPICKIN';date;label;Wes Montgomery,Lionel Hampton,Freddie Hubbard,Buddy Montgomery,Charlie Parker,George Forrest,Robert C. Wright,Joe Bradley,Paul Parker,Richie Crabtee
FREE FOR ALL (ALBUM);date;label;Freddie Hubbard,Wayne Shorter,Clare Fisher,Curtis Fuller,Cedar Walton
FROM SPIRITUALS TO SWING;date;label;Count Basie,Benny Goodman,Joe Turner,Pete Johnson,Helen Humes,Rosetta Tharpe,Bill Broonzy,Sonny Terry,Bessie Smith,Robert Johnson,Bob Dylan,Bruce Springsteen,Harry Edison,Buck Clayton,Shad Collins,Dicky Wells,Benny Morton,Earle Warren,Herschel Evans,Freddie Green,Walter Page,Jo Jones,Ruby Smith,William Brown,Julius Davis,Louis David,Sam Bryant,Jimmy Rushing,Sidney Bechet,Charlie Christian,Lionel Hampton,Fletcher Henderson,Nick Fatool,Ida Cox,Buddy Tate,Willie Johnson,Henry Owens,Orlandus Wilson,Eddie Durham,Edgar Sampson,Dave Peyton,Spencer Williams,Christian Singers,Milenberg Joys,Roll Morton,Paul Mares,Fats Waller,Eubie Blake,John Henry,Jimmy Mundy,Cub Koda,Peter Gardner,William H. Young,Nancy K. Young,Michael Bailey
THE GARY MCFARLAND ORCHESTRA (ALBUM);date;label;Bill Evans,Gary McFarland,Night Images,Misplaced Cowpoke,Phil Woods,Richard Davis,Ed Shaughnessy,Joseph Tekula
GETTIN' DOWN TO IT;date;label;Frank Sinatra,Frank Vincent,Marva Whitney
GETZ AU GO GO;date;label;Go Go,Stan Getz,Bill Evans,Gary Burton,Ronaldo Boscoli,Chuck Israels,Gene Cherico,Helcio Milito,Joe Hunt,Kenny Burrell,Val Valentin,John Swenson
THE GOLDEN AGE OF APOCALYPSE;date;label;
GUYS AND DOLLS LIKE VIBES;date;label;Eddie Costa,Bill Evans,Wendell Marshall,Paul Motian
THE HARDBOP GRANDBOP;date;label;Horace Silver,Pencil Packin,Claudio Roditi,Steve Turre,Michael Brecker,Ronnie Cuber
HARMONY OF DIFFERENCE;date;label;Young Turks,Whitney Museum,Mark Richardson,Raphael Benoit,Miles Mosley,Ronald Bruner,Brandon Coleman,Cameron Graves,Dontae Winslow,Nick Mancini,Peter Jacobson,Chris Woods,Dustin Warren,Mashica Winslow,Steven Wayne,Steve Smith,Henri Tournant
HERE IS PHINEAS;date;label;Phineas Newborn,Nesushi Ertegun,Phineas Newborn Jr,Calvin Newborn,Oscar Pettiford,Kenny Clarke,Phineas Newborn Jr.
HORACE SILVER AND THE JAZZ MESSENGERS;date;label;Horace Silver,Hank Mobley,Kenny Dorham,Doug Watkins
IDLE MOMENTS;date;label;Idle Moments,Grant Green,Duke Pearson,Joe Henderson,Bobby Hutcherson,Bob Cranshaw
IN A METAL MOOD: NO MORE MR. NICE GUY;date;label;Pat Boone,Michael Lloyd,Jeffrey Weber,Ozzy Osbourne,Dweezil Zappa,Judas Priest,Van Halen,Boudleaux Bryant,Holy Diver,Guns N,Jimi Hendrix,Clydene Jackson Edwards,Mitch Holder,Dawayne Bailey,Dan Ferguson,Michael Thompson,Doug Cameron,Bruce Dukov,Michelle Richards,Evan Wilson,Tom Scott,Gary Herbig,Pete Christlieb,Terry Harrington,Plas Johnson,Jeol Peskin,Frank Szabo,Chuck Findley,Wayne Bergeron,Rick Baptist,Chris Tedesco,Bruce Otto,Dana Hughes,Dave Siebels,Sheila E.
IN A WESTERN SENSE;date;label;Tony Bianco,El Frin
IN MEMORY OF NIKKI ARANE;date;label;John Zorn,Eugene Chadbourne,Jesse Jarnow,Walter Hill,Bar Kokhba,Shir Hashirim,William Blake,Derek Bailey,Tonie Marshall,Sato Michihiro,Fred Frith,Yamantaka Eye,Nani Nani,William Parker,Bobby Previte,Trey Spruance,Mike Patton,William Winant,Chris Cochrane,Wayne Horvitz,Elliott Sharp,Tatsuya Nakamura,Dave Douglas,Rob Burger,Ben Perowsky,Thurston Moore
INDESTRUCTIBLE (ALBUM D'ART BLAKEY);date;label;Wayne Shorter,Miles Davis,Victor Sproles,Cedar Walton,John Hicks,Curtis Fuller,Miss Khadija
JAZZ IS A SPIRIT;date;label;Wayne Shorter,Herbie Hancock,Terence Blanchard,Paul Bollenback,Jo Jones,Cosby Show,Bob Hurst,Witch Hunt,Greg Kurstin,Danny Robinson,Wallace Roney,Katisse Buckingham,Kevin Eubanks,Jeff Richman,Munyungo Jackson,Gary Thomas,Jim Santella,Jonathan Widran,Ron Wynn
J. R. MONTEROSE (ALBUM);date;label;Teddy Charles,Jon Eardley,Eddie Bert,Charles Mingus,Pithecanthropus Erectus,Kenny Dorham,Wilbur Ware,Ira Sullivan,Philly Joe Jones,Buddy Rich,Horace Silver,Donald Byrd,Paul Chambers,Enfin Monterose,Sonny Rollins,Bobbie Pin,Marc V,Stephen Thomas Erlewine,Coleman Hawkins
KENNY BURRELL & JOHN COLTRANE;date;label;Kenny Burrell,John Coltrane,Bob Weinstock,Freight Trane,Tommy Flanagan,Paul Chambers,Jimmy Cobb,Lush Life,Standard Coltrane,Ole Coltrane,Duke Ellington,Johnny Hartman,Kulu Se Mama,School Days,Miles Davis,Will Come,Sonny Rollins,Tenor Madness,Hank Mobley,Johnny Griffin,Paul Quinichette,Soul Junction,Sonny Clark,Wilbur Harden,Tanganyika Strut,George Russell
LADY IN SATIN;date;label;Frank Sinatra,Joel Herron,Jack Wolf,Elise Bretton,Sherman Edwards,Fred Coots,Sam M.,Matt Dennis,Ray Ellis,George Ockner,Harry Hoffman,Harry Katzmann,Milton Lomask,David Newman,Samuel Rand,David Sarcer,Richard Dichler,David Soyer,Maurice Brown,Janet Putnam,Danny Bank,Phil Bodner,Romeo Penque,Tom Parshley,Billy Butterfield,Jimmy Ochner,Bernie Glow,Urbie Green,Jack Green,Tommy Mitchell,Mal Waldron,Barry Galbraith,Milt Hinton,Osie Johnson,Miriam Workman
LEROY WALKS!;date;label;Gerald Wilson,Teddy Edwards,Victor Feldman,Mort Dixon,Roy Turk
THE MAGIC TOUCH;date;label;Tadd Dameron,Bernie Hanighem,Clark Terry,Joe Wilder,Britt Woodman,Julius Watkins,Jerry Dodgion,Johnny Griffin,Jerome Richardson,Bill Evans,George Duvivier,Philly Joe Jones,Charlie Shavers,Barbara Winfield
MODE FOR JOE;date;label;Joe Henderson,Cedar Walton,Curtis Fuller,Bobby Hutcherson,Joe Chambers
MONK'S MUSIC;date;label;Coleman Hawkins,John Coltrane,William Henry Monk,Ray Copeland,Gigi Gryce,Wilbur Ware,Sonny Rollins,Criss Cross,Milt Jackson,Miles Davis,Clark Terry
MONTREUX '77 (ALBUM D'EDDIE DAVIS);date;label;Eddie Davis,Dorothy Parker,Tutti Camarata,Edgar Sampson,Oscar Peterson,Ray Brown,Jimmie Smith,John Swenson
MONTREUX '77 (ALBUM DE JOE PASS);date;label;Joe Pass,Charlie Parker,Wait Till,John Swenson
MONTREUX '77 (ALBUM D'OSCAR PETERSON);date;label;Oscar Peterson,Ted Persons,David Bennett,Chauncey Gray,Frederick Hamm,Dizzy Gillespie,Clark Terry,Bobby Durham,Giuseppe Pino,Val Valentin,John Swenson
MONTREUX '77 (ALBUM DE ROY ELDRIDGE);date;label;Roy Eldridge,Vic Dickenson,Gordon Clifford,Ervin Drake,Juan Tizol,Ray Henderson,Oscar Peterson,Bobby Durham,Val Valentin,Phil Stern,Benny Green,John Swenson
