Steve Coleman;male;date de naissance;instrument;country;White
Andy Milne;male;date de naissance;instrument;country;White
David Gilmore;male;date de naissance;instrument;country;White
Reggie Washington;male;date de naissance;instrument;country;White
Roy Hargrove;male;date de naissance;instrument;country;Black
Josh Roseman;male;date de naissance;instrument;country;White
Junior �Gabu� Wedderburn;unknown;date de naissance;instrument;country;Hispanic
Eberhard Weber;male;date de naissance;instrument;country;White
Rainer Bruninghaus;male;date de naissance;instrument;country;White
Ack van Rooyen;unknown;date de naissance;instrument;country;White
Peter Giger;male;date de naissance;instrument;country;White
Ralf H�bner;male;date de naissance;instrument;country;White
John Surman;male;date de naissance;instrument;country;White
John Warren;male;date de naissance;instrument;country;White
Mike Osborne;male;date de naissance;instrument;country;White
Alan Skidmore;male;date de naissance;instrument;country;Hispanic
Harry Beckett;male;date de naissance;instrument;country;White
John Taylor;male;date de naissance;instrument;country;White
Barre Phillips;unknown;date de naissance;instrument;country;White
Harry Miller;male;date de naissance;instrument;country;White
Alan Jackson;male;date de naissance;instrument;country;Hispanic
Stu Martin;male;date de naissance;instrument;country;White
Oliver Nelson;male;date de naissance;instrument;country;White
Freddie Hubbard;mostly_male;date de naissance;instrument;country;Black
Eric Dolphy;male;date de naissance;instrument;country;White
George Barrow;male;date de naissance;instrument;country;White
Bill Evans;male;date de naissance;instrument;country;White
Paul Chambers;male;date de naissance;instrument;country;White
Betty Carter;female;date de naissance;instrument;country;White
John Hicks;male;date de naissance;instrument;country;White
Curtis Lundy;male;date de naissance;instrument;country;White
Kenny Washington;male;date de naissance;instrument;country;White
Art Tatum;male;date de naissance;instrument;country;White
Charles Lloyd;male;date de naissance;instrument;country;Hispanic
Keith Jarrett;male;date de naissance;instrument;country;White
Cecil McBee;male;date de naissance;instrument;country;White
Jack DeJohnette;male;date de naissance;instrument;country;White
Oscar Peterson;male;date de naissance;instrument;country;AIAN
Ray Brown;mostly_male;date de naissance;instrument;country;White
Ed Thigpen;male;date de naissance;instrument;country;White
Herbie Hancock;unknown;date de naissance;instrument;country;White
John Scofield;male;date de naissance;instrument;country;White
Dave Holland;male;date de naissance;instrument;country;API
Don Alias;male;date de naissance;instrument;country;Black
Roland Kirk;male;date de naissance;instrument;country;White
Jaki Byard;andy;date de naissance;instrument;country;White
Richard Davis;male;date de naissance;instrument;country;White
Elvin Jones;male;date de naissance;instrument;country;White
Thelonious Monk;unknown;date de naissance;instrument;country;White
Idrees Sulieman;male;date de naissance;instrument;country;API
George Taitt;male;date de naissance;instrument;country;White
