Name,Date,Venue,Time,Notes
Judy Stock,2012-05-03,Kids Tent,4:10 PM,
Ted Winn,2012-05-04,Gospel Tent,3:35 PM,
Eagles,2012-05-05,Acura Stage,5:00 PM,
Zebra,2012-04-27,Acura Stage,3:40 PM,
Bobby Rush,2012-04-28,Blues Tent,4:25 PM,
Tab Benoit,2012-04-29,Blues Tent,5:55 PM,
Dee-1,2012-04-27,Congo Square Stage,12:40 PM,
Gomez,2012-04-27,Gentilly Stage,2:10 PM,
GIVERS,2012-04-27,Gentilly Stage,3:45 PM,
Bon Iver,2012-04-27,Gentilly Stage,5:25 PM,
Luther Kent,2012-04-28,Blues Tent,1:35 PM,
Feist,2012-04-28,Gentilly Stage,5:40 PM,
Gary Clark Jr.,2012-04-29,Blues Tent,4:30 PM,
Opera a la Carte,2012-05-03,Kids Tent,1:50 PM,
Marcia Ball,2012-05-04,Acura Stage,1:55 PM,
Deacon John,2012-05-04,Blues Tent,4:00 PM,
Vivaz!,2012-05-04,Gentilly Stage,11:20 AM,
Irma Thomas,2012-05-05,Acura Stage,3:10 PM,
Ne-Yo,2012-05-05,Congo Square Stage,5:35 PM,
Galactic,2012-05-06,Acura Stage,1:25 PM,
ELS,2012-05-06,Congo Square Stage,1:30 PM,
Kim Che're,2012-05-06,Gospel Tent,12:00 PM,
Eric Lindell,2012-04-27,Blues Tent,3:00 PM,
The Jones Sisters,2012-04-28,Kids Tent,3:00 PM,
Sonny Landreth,2012-04-29,Blues Tent,3:05 PM,
Al Green,2012-04-29,Congo Square Stage,5:40 PM,
Ayla Miller Band,2012-04-29,Kids Tent,3:00 PM,
Glen Hansard,2012-05-03,Acura Stage,12:55 PM,
Joint's Jumpin',2012-05-03,Blues Tent,4:05 PM,
OTRA,2012-05-03,Congo Square Stage,12:20 PM,
Forever Jones,2012-05-03,Gospel Tent,3:45 PM,
Zac Brown Band,2012-05-04,Acura Stage,5:20 PM,
Bonerama,2012-05-04,Gentilly Stage,3:45 PM,
Mavis Staples,2012-05-04,Gospel Tent,4:50 PM,
Brass Bed,2012-05-04,Lagniappe Stage,5:45 PM,
Mas Mamones,2012-05-05,Acura Stage,11:10 AM,
Guitar Slim Jr.,2012-05-05,Blues Tent,11:15 AM,
Bombino of Niger,2012-05-05,Blues Tent,3:05 PM,
Rotary Downs,2012-05-06,Acura Stage,11:10 AM,
Supagroup,2012-05-06,Acura Stage,12:15 PM,
Foo Fighters,2012-05-06,Acura Stage,3:10 PM,
Brother Dege,2012-05-06,Blues Tent,11:20 AM,
Stars of Heaven,2012-05-06,Gospel Tent,4:50 PM,
Ed Volker,2012-05-06,Lagniappe Stage,3:00 PM,
AsheSon,2012-05-06,Lagniappe Stage,4:25 PM,
The Dixie Cups,2012-04-27,Acura Stage,2:15 PM,
Empress Hotel,2012-04-28,Acura Stage,11:20 AM,
Ironing Board Sam,2012-04-29,Blues Tent,1:50 PM,
