Name,Date,Venue,Time,Notes
Sage,1973-04-12,Stage 3,,
Ars Nova,1973-04-13,Stage 3,,
Cabaret,1973-04-12,Stage 1,,
Phil Zito,1973-04-12,Stage 1,,
Jay Abner,1973-04-12,Stage 5,,
Jay Abner,1973-04-13,Stage 1,,
Robbie Lee,1973-04-13,Stage 3,,
Les Moore,1973-04-13,Stage 5,,
Mamou Band,1973-04-13,Stage 5,,
Jay Abner,1973-04-14,Stage 1,,
Kid Thomas,1973-04-14,Stage 1,,
Earl King,1973-04-14,Stage 2,,
Lee Dorsey,1973-04-14,Stage 2,,
The Meters,1973-04-14,Stage 2,,
Ernie K-Doe,1973-04-14,Stage 4,,
Vin Bruce,1973-04-14,Stage 5,,
Don Albert,1973-04-15,Stage 1,,
Kid Thomas,1973-04-15,Stage 1,,
The Souls,1973-04-15,Stage 2,,
Jay Abner,1973-04-15,Stage 3,,
Mamou Band,1973-04-15,Stage 5,,
Ott Family,1973-04-12,Gospel,,
Al Belletto,1973-04-12,Stage 1,,
Gary and Nada,1973-04-12,Stage 1,,
Betty Casey,1973-04-12,Stage 2,,
Bukka White,1973-04-12,Stage 5,,
Bukka White,1973-04-13,Stage 4,,
Al Belletto,1973-04-14,Stage 2,,
Bukka White,1973-04-14,Stage 2,,
Jim Kweskin,1973-04-14,Stage 4,,
Mamou Group,1973-04-14,Stage 5,,
Bukka White,1973-04-15,Stage 3,,
Papa French,1973-04-15,Stage 3,,
Porgy Jones,1973-04-15,Stage 3,,
Babe Stovall,1973-04-12,Stage 5,,
Babe Stovall,1973-04-13,Stage 4,,
James Rivers,1973-04-14,Stage 1,,
Murphy Campo,1973-04-14,Stage 1,,
Kustbandet,1973-04-14,Stage 4,,
Armand Hug,1973-04-15,Seminar,,
Santo Pecora,1973-04-15,Stage 1,,
Doug Kershaw,1973-04-15,Stage 4,,
George Kay,1973-04-12,Seminar,1:30 PM,
George Kay,1973-04-12,Seminar,4:30 PM,
Adolescence,1973-04-12,Stage 2,,
Bob Greene Trio,1973-04-12,Stage 3,,
Percy Randolph,1973-04-12,Stage 5,,
Rev. Clay Choir,1973-04-13,Gospel,,
Percy Randolph,1973-04-13,Stage 4,,
Cappy's Hat Band,1973-04-13,Stage 5,,
Sammy Berfect,1973-04-14,Gospel,,
Wilson Family,1973-04-14,Gospel,,
Bayou Stompers,1973-04-14,Stage 3,,
Sammy Berfect,1973-04-15,Gospel,,
Bayou Stompers,1973-04-15,Stage 1,,
Rocks of Harmony,1973-04-12,Gospel,,
Drum and Fife Corps,1973-04-12,Stage 5,,
Southern Bells,1973-04-13,Gospel,,
Drum and Fife Corps,1973-04-13,Stage 2,,
Roosevelt Sykes,1973-04-13,Stage 4,,
Drum and Fife Corps,1973-04-14,Stage 1,,
Gentlemen of Jazz,1973-04-14,Stage 3,,
Clifton Chenier,1973-04-14,Stage 5,,
Rocks of Harmony,1973-04-15,Gospel,,
Roosevelt Sykes,1973-04-15,Stage 2,,
Drum and Fife Corps,1973-04-15,Stage 3,,
Allen Toussaint,1973-04-15,Stage 4,,
Clifton Chenier,1973-04-15,Stage 5,,
Spiritualettes,1973-04-12,Gospel,,
Eureka Brass Band,1973-04-12,Parade,,
Olympia Brass Band,1973-04-12,Parade,,
Bill Russell,1973-04-12,Seminar,1:30 PM,
Bill Russell,1973-04-12,Seminar,4:30 PM,
