Name,Date,Venue,Time,Notes
The Chops,1998-05-02,Parade,2:00 PM,
Dr. John,1998-04-24,Ray-Ban Stage,3:45 PM,
Big Nine SAPC,1998-05-01,Parade,4:00 PM,
Single Men SAPC,1998-04-24,Parade,4:00 PM,
Ruth Brown,1998-04-24,Ray-Ban Stage,2:20 PM,
The Rollers SAPC,1998-04-25,Parade,2:00 PM,
Jazz Ladies SAPC,1998-04-25,Parade,4:00 PM,
Lady Zulu SAPC,1998-04-26,Parade,12:00 PM,
The Hot 8 Brass Ban,1998-04-26,Parade,2:00 PM,
Erykah Badu,1998-04-26,Ray-Ban Stage,3:45 PM,
Double Nine SAPC,1998-05-01,Parade,4:00 PM,
Chosen Few SAPC,1998-05-02,Parade,2:00 PM,
Jolly Bunch SAPC,1998-05-02,Parade,4:00 PM,
Irma Thomas,1998-05-02,Ray-Ban Stage,3:30 PM,
Just Steppin' SAPC,1998-04-24,Parade,4:00 PM,
Billy Fayard,1998-04-24,Ray-Ban Stage,11:40 AM,
John Fogerty,1998-04-24,Ray-Ban Stage,5:30 PM,
Keb' Mo',1998-04-25,House of Blues Stage,1:30 PM,
Jass Cafe Brass Band,1998-04-25,Parade,2:00 PM,
Lady Sequence SAPC,1998-04-25,Parade,2:00 PM,
O.G. Steppers SAPC,1998-04-25,Parade,4:00 PM,
Michael Ward,1998-04-25,Ray-Ban Stage,12:10 PM,
The Dirty Dozen,1998-04-25,Ray-Ban Stage,1:15 PM,
Bonnie Raitt,1998-04-25,Ray-Ban Stage,5:30 PM,
Olympia Aid SAPC,1998-04-26,Parade,12:00 PM,
Original Four SAPC,1998-04-26,Parade,2:00 PM,
Revolution SAPC,1998-04-26,Parade,2:00 PM,
Furious Five SAPC,1998-04-26,Parade,4:00 PM,
New Birth Brass Band,1998-04-26,Parade,4:00 PM,
The Elements,1998-04-26,Ray-Ban Stage,11:15 AM,
funky Meters,1998-04-26,Ray-Ban Stage,2:00 PM,
Dave Matthews,1998-04-26,Ray-Ban Stage,5:30 PM,
Eddie Bo,1998-05-01,House of Blues Stage,6:00 PM,
Treme Brass Band,1998-05-02,Parade,12:00 PM,
Algiers Brass Band,1998-05-02,Parade,4:00 PM,
Jet Setters SAPC,1998-05-03,Parade,12:00 PM,
Tornado Brass Band,1998-05-03,Parade,2:00 PM,
Jah Posse,1998-04-24,Congo Square Stage,1:30 PM,
Tiny Town,1998-04-24,Fox 8/Polaroid Stage,1:40 PM,
Mahogany Brass Band,1998-04-24,Parade,2:00 PM,
CoaCoa,1998-04-26,Fox 8/Polaroid Stage,11:00 AM,
Untouchables SAPC,1998-04-26,Parade,4:00 PM,
Chosen Few Brass Band,1998-05-01,Parade,4:00 PM,
Emmylou Harris,1998-05-01,Ray-Ban Stage,4:00 PM,
Devastation SAPC,1998-05-02,Parade,12:00 PM,
Calendar Girls SAPC,1998-05-02,Parade,4:00 PM,
Popular Ladies SAPC,1998-05-02,Parade,4:00 PM,
Samba Ngo,1998-05-03,Congo Square Stage,2:45 PM,
