Name,Date,Venue,Time,Notes
Keb' Mo',2011-04-29,Blues Tent,3:50 PM,
Bon Jovi,2011-04-30,Acura Stage,4:50 PM,
Ted Winn,2011-04-30,Gospel Tent,6:05 PM,
Kenny G,2011-05-01,WWOZ Jazz Tent,5:30 PM,
Wilco,2011-05-05,Acura Stage,5:20 PM,
Vivaz!,2011-05-07,Acura Stage,11:20 AM,
RAM ,2011-05-07,Haiti Pavilion ,4:40 PM,
Kid Rock,2011-05-08,Acura Stage,3:30 PM,
RAM ,2011-05-08,Haiti Pavilion ,2:50 PM,
Jeff Beck,2011-04-29,Acura Stage,3:20 PM,
Tab Benoit,2011-04-29,Blues Tent,5:40 PM,
OTRA,2011-04-29,Lagniappe Stage,5:50 PM,
Irma Thomas,2011-04-30,Acura Stage,3:05 PM,
Robert Cray,2011-04-30,Blues Tent,5:30 PM,
Amos Lee,2011-04-30,Gentilly Stage,3:35 PM,
DJA - Rara,2011-04-30,Haiti Pavilion ,3:00 PM,
Arlo Guthrie,2011-05-01,Blues Tent,5:30 PM,
DJA - Rara,2011-05-01,Haiti Pavilion ,1:05 PM,
Galactic,2011-05-05,Acura Stage,3:25 PM,
Bonerama,2011-05-06,Acura Stage,2:05 PM,
Arcade Fire,2011-05-06,Acura Stage,5:35 PM,
Luther Kent,2011-05-06,Blues Tent,2:50 PM,
Eric Lindell,2011-05-06,Blues Tent,4:15 PM,
Gregg Allman,2011-05-06,Blues Tent,5:40 PM,
Leah Chase,2011-05-06,WWOZ Jazz Tent,2:45 PM,
Troy Turner,2011-05-07,Blues Tent,11:25 AM,
Fourplay,2011-05-07,WWOZ Jazz Tent,5:30 PM,
Henry Butler,2011-05-08,Blues Tent,2:00 PM,
Renard Poche,2011-04-30,Acura Stage,11:15 AM,
The Dixie Cups,2011-04-30,Acura Stage,12:25 PM,
Jason Mraz,2011-04-30,Gentilly Stage,5:30 PM,
John Boutte,2011-04-30,WWOZ Jazz Tent,4:05 PM,
Ahmad Jamal,2011-04-30,WWOZ Jazz Tent,5:35 PM,
Tom Jones,2011-05-01,Gentilly Stage,5:35 PM,
Vickie Winans,2011-05-01,Gospel Tent,5:40 PM,
Ruthie Foster,2011-05-05,Blues Tent,5:50 PM,
The Help,2011-05-05,Lagniappe Stage,12:25 PM,
Guitar Slim Jr.,2011-05-06,Blues Tent,12:25 PM,
Marcia Ball,2011-05-07,Acura Stage,12:30 PM,
Bobby Blue Band,2011-05-07,Blues Tent,5:55 PM,
Cowboy Mouth,2011-05-08,Acura Stage,1:45 PM,
Sonny Landreth,2011-05-08,Blues Tent,3:30 PM,
Shades of Praise,2011-04-29,Gospel Tent,4:25 PM,
Derek Douget,2011-04-29,WWOZ Jazz Tent,12:25 PM,
Deacon John,2011-05-01,Gentilly Stage,2:20 PM,
Michael Ward,2011-05-01,WWOZ Jazz Tent,11:20 AM,
Paul Eason,2011-05-05,Lagniappe Stage,4:20 PM,
Brice Winston,2011-05-05,WWOZ Jazz Tent,1:25 PM,
Better Than Ezra,2011-05-06,Acura Stage,3:40 PM,
Mingus Big Band,2011-05-06,WWOZ Jazz Tent,5:35 PM,
The Strokes,2011-05-07,Gentilly Stage,5:20 PM,
Veal Brothers,2011-05-07,Gospel Tent,12:05 PM,
Sonny Rollins,2011-05-08,WWOZ Jazz Tent,5:40 PM,
Coco Robicheaux,2011-04-29,Blues Tent,11:10 AM,
Mia Borders,2011-04-29,Gentilly Stage,12:30 PM,
The subdudes,2011-04-29,Gentilly Stage,1:55 PM,
Rocks of Harmony,2011-04-29,Gospel Tent,12:00 PM,
Mighty Clouds of Joy,2011-04-29,Gospel Tent,5:35 PM,
Danny Barnes,2011-04-29,Lagniappe Stage,4:30 PM,
Germaine Bazzle,2011-04-29,WWOZ Jazz Tent,1:30 PM,
J. Monque'D Blues Band,2011-04-30,Blues Tent,1:15 PM,
Rotary Downs,2011-04-30,Gentilly Stage,12:35 PM,
