Name,Date,Venue,Time,Notes
Dr. John,2002-04-28,Acura Stage,3:15 PM,
Eddie Bo,2002-04-28,Blues Tent,1:35 PM,
Zion,2002-05-03,Acura Stage,11:20 AM,
Ratdog,2002-05-05,Acura Stage,1:30 PM,
Kenny Neal,2002-04-27,Blues Tent,2:20 PM,
No Limit SA&PC,2002-04-27,Parade,4:00 PM,
Hot 8 Brass Band,2002-04-28,Parade,4:00 PM,
Gov't Mule,2002-05-02,Acura Stage,3:45 PM,
Tab Benoit   ,2002-05-03,Blues Tent,1:25 PM,
Raful Neal,2002-05-04,Blues Tent,1:30 PM,
The Bucks,2002-04-26,Acura Stage,11:15 AM,
The Bucks,2002-04-27,Acura Stage,12:30 PM,
Galactic,2002-04-27,Acura Stage,3:30 PM,
Single Men SAPC,2002-04-27,Parade,12:00 PM,
Elvin Bishop,2002-04-28,Blues Tent,5:45 PM,
New Look SA&PC,2002-04-28,Parade,12:00 PM,
Love Jones,2002-05-02,Acura Stage,11:15 AM,
Irene Sage,2002-05-02,Acura Stage,12:35 PM,
Wayne Toups,2002-05-03,Acura Stage,1:50 PM,
Marcia Ball,2002-05-03,Acura Stage,3:25 PM,
Henry Butler,2002-05-03,Blues Tent,2:45 PM,
Deacon John,2002-05-03,Blues Tent,5:45 PM,
Lloyd Price,2002-05-04,Acura Stage,1:55 PM,
Big Al Carson  ,2002-05-04,Blues Tent,12:20 PM,
Treme Brass Band,2002-05-04,Parade,4:00 PM,
Corey Harris,2002-05-05,Blues Tent,2:55 PM,
funky Meters,2002-04-26,Acura Stage,1:40 PM,
Sonny Landreth,2002-04-26,Blues Tent,4:15 PM,
Cronk,2002-04-26,Congo Square Stage,12:25 PM,
All That,2002-04-26,Lagniappe Stage,3:00 PM,
Olympia Brass Band,2002-04-26,Parade,2:00 PM,
Sugar Hill Gang SAPC,2002-04-26,Parade,2:00 PM,
Lenny Kravitz,2002-04-27,Acura Stage,5:30 PM,
Frankie Ford,2002-04-28,Acura Stage,12:25 PM,
DJ Duck,2002-04-28,Congo Square Stage,11:15 AM,
Olympia Aid SA&PC,2002-04-28,Parade,12:00 PM,
Furious Five SA&PC,2002-04-28,Parade,4:00 PM,
James Andrews,2002-05-02,Blues Tent,1:40 PM,
Bonnie Raitt,2002-05-03,Acura Stage,5:25 PM,
Lonnie Brooks,2002-05-03,Blues Tent,4:10 PM,
Sherman  ,2002-05-03,Lagniappe Stage,1:45 PM,
New Wave Brass Band,2002-05-03,Parade,2:00 PM,
Singe Men Kids SA&PC,2002-05-03,Parade,2:00 PM,
Snooks Eaglin,2002-05-04,Blues Tent,5:50 PM,
New Birth Brass Band,2002-05-04,Parade,2:00 PM,
Happy House SA&PC,2002-05-04,Parade,4:00 PM,
Chevere,2002-05-05,Lagniappe Stage,1:40 PM,
Counting Crows,2002-04-26,Acura Stage,5:35 PM,
Coco Robicheaux,2002-04-26,Blues Tent,1:35 PM,
Deborah Coleman,2002-04-27,Blues Tent,2:20 PM,
Devastation SA&PC,2002-04-27,Parade,2:00 PM,
Mahogany Brass Band,2002-04-27,Parade,2:00 PM,
Money Wasters SA&PC,2002-04-27,Parade,2:00 PM,
Lady Sequence SA&PC,2002-04-27,Parade,4:00 PM,
Chris Thomas King,2002-04-28,Blues Tent,3:05 PM,
Choppa,2002-04-28,Congo Square Stage,11:15 AM,
Original Four SA&PC,2002-04-28,Parade,2:00 PM,
Single Ladies SA&PC,2002-04-28,Parade,4:00 PM,
