Name,Date,Venue,Time,Notes
Upset,2013-04-26,Kids Tent,5:15 PM,
Pura Fe,2013-05-02,Blues Tent,2:55 PM,
Ted Winn,2013-04-27,Gospel Tent,2:40 PM,
B.B. King,2013-04-28,Blues Tent,6:00 PM,
Maroon 5,2013-05-03,Acura Stage,5:20 PM,
Los Lobos,2013-05-04,Blues Tent,5:40 PM,
OTRA,2013-05-05,Acura Stage,11:15 AM,
Tab Benoit,2013-05-03,Blues Tent,5:35 PM,
John Mayer,2013-04-26,Acura Stage,5:30 PM,
Henry Gray,2013-04-26,Blues Tent,11:20 AM,
Soulfruit,2013-04-26,Gospel Tent,2:40 PM,
OperaCreole,2013-04-26,Kids Tent,3:00 PM,
Billy Joel,2013-04-27,Acura Stage,5:15 PM,
Deacon John,2013-04-27,Blues Tent,2:45 PM,
Daryl Coley,2013-04-27,Gospel Tent,3:45 PM,
Vivaz!,2013-04-28,Gentilly Stage,11:15 AM,
Kim Che're,2013-04-28,Gospel Tent,12:50 PM,
The Selvys,2013-04-28,Gospel Tent,3:45 PM,
Men of Class SA&PC,2013-04-28,Parade,5:40 PM,
Drink Small,2013-05-02,Blues Tent,12:35 PM,
Dee-1,2013-05-02,Congo Square Stage,2:45 PM,
Kem,2013-05-02,Congo Square Stage,5:40 PM,
Gravy,2013-05-02,Lagniappe Stage,2:25 PM,
Kenny Neal,2013-05-04,Blues Tent,12:20 PM,
Eric Lindell,2013-05-04,Blues Tent,2:50 PM,
Tione Johnson,2013-05-04,Kids Tent,3:00 PM,
Guitar Slim Jr.,2013-04-26,Blues Tent,12:25 PM,
Sonny Landreth,2013-04-26,Blues Tent,4:00 PM,
Bonerama,2013-04-27,Gentilly Stage,2:05 PM,
The Jones Sisters,2013-04-27,Kids Tent,3:00 PM,
The Nevilles,2013-04-28,Acura Stage,3:10 PM,
Calexico,2013-04-28,Gentilly Stage,3:25 PM,
Rose Anne St. Romain,2013-04-28,Kids Tent,1:50 PM,
Ed Volker,2013-04-28,Lagniappe Stage,2:20 PM,
Mia Borders,2013-05-02,Acura Stage,12:25 PM,
Ms. Lala and the Ya-Yas,2013-05-02,Kids Tent,4:10 PM,
Royal Teeth,2013-05-03,Acura Stage,12:00 PM,
Cowboy Mouth,2013-05-04,Acura Stage,1:15 PM,
Little Big Town,2013-05-04,Acura Stage,2:40 PM,
Fleetwood Mac,2013-05-04,Acura Stage,4:40 PM,
MUTEMATH,2013-05-04,Gentilly Stage,1:55 PM,
Galactic,2013-05-04,Gentilly Stage,3:25 PM,
Phoenix,2013-05-04,Gentilly Stage,5:30 PM,
The Black Keys,2013-05-05,Acura Stage,3:40 PM,
Satan and Adam,2013-05-05,Blues Tent,12:15 PM,
Flow Tribe,2013-04-26,Gentilly Stage,11:10 AM,
"Gary Clark, Jr.",2013-04-26,Gentilly Stage,4:00 PM,
Raw Oyster Cult,2013-04-28,Acura Stage,12:20 PM,
Better Than Ezra,2013-04-28,Acura Stage,1:40 PM,
Gipsy Kings,2013-04-28,Gentilly Stage,5:25 PM,
Patti Smith,2013-05-02,Gentilly Stage,5:40 PM,
Laura Bell Bundy,2013-05-03,Acura Stage,2:05 PM,
Marc Broussard,2013-05-03,Acura Stage,3:35 PM,
Spencer Bohren,2013-05-03,Blues Tent,12:00 PM,
The Iguanas,2013-05-03,Gentilly Stage,1:25 PM,
Marcia Ball,2013-05-03,Gentilly Stage,2:04 PM,
Shades of Praise,2013-05-03,Gospel Tent,3:40 PM,
SUBR Jazzy Jags,2013-05-04,Acura Stage,11:00 AM,
Cha Wa,2013-05-04,Jazz and Heritage Stage,1:30 PM,
Irma Thomas,2013-05-05,Gentilly Stage,2:00 PM,
David and Roselyn,2013-05-05,Kids Tent,11:30 AM,
Kim Carson,2013-05-05,Lagniappe Stage,2:55 PM,
Campbell Brothers,2013-04-26,Blues Tent,5:45 PM,
The Soul Rebels,2013-04-26,Gentilly Stage,1:20 PM,
Band of Horses,2013-04-26,Gentilly Stage,5:45 PM,
Calliope Puppets,2013-04-26,Kids Tent,12:40 PM,
The ISL Circus Arts Kids,2013-04-26,Kids Tent,4:10 PM,
Allen Toussaint,2013-04-27,Acura Stage,3:30 PM,
Jill Scott,2013-04-27,Congo Square Stage,5:40 PM,
Dave Matthews Band,2013-04-28,Acura Stage,5:00 PM,
Tuba Skinny,2013-04-28,Lagniappe Stage,12:50 PM,
Andrew Duhon,2013-04-28,Lagniappe Stage,5:25 PM,
Widespread Panic,2013-05-02,Acura Stage,4:30 PM,
J. Monque'D Blues Band,2013-05-02,Blues Tent,11:30 AM,
Glen David Andrews,2013-05-02,Blues Tent,4:10 PM,
Ingrid Lucia,2013-05-02,Lagniappe Stage,3:55 PM,
Jimmy Cliff,2013-05-03,Congo Square Stage,5:30 PM,
The Mavericks,2013-05-03,Gentilly Stage,2:40 PM,
The Branchettes,2013-05-03,Gospel Tent,12:05 PM,
KID smART Showcase,2013-05-03,Kids Tent,12:20 PM,
DJ Raj Smoove,2013-05-04,Congo Square Stage,4:45 PM,
Frank Ocean,2013-05-04,Congo Square Stage,5:25 PM,
Minister Jai Reed,2013-05-04,Gospel Tent,1:45 PM,
VaShawn Mitchell,2013-05-04,Gospel Tent,3:50 PM,
Kevin Gordon,2013-05-04,Lagniappe Stage,5:15 PM,
Aaron Neville,2013-05-05,Gentilly Stage,5:45 PM,
Uptown Music Theatre,2013-05-05,Kids Tent,1:50 PM,
George Benson,2013-04-26,Congo Square Stage,5:30 PM,
Anders Osborne,2013-04-26,Gentilly Stage,2:30 PM,
Johnny J and the Hitmen,2013-04-27,Acura Stage,11:05 AM,
Robin Barnes,2013-04-27,Congo Square Stage,11:10 AM,
Lance Ellis,2013-04-27,Congo Square Stage,12:15 PM,
Michael Ward,2013-04-27,Congo Square Stage,2:25 PM,
Alex McMurray,2013-04-27,Gentilly Stage,11:25 AM,
A Tribe Called Red,2013-04-27,Gentilly Stage,12:50 PM,
The Kid Carsons,2013-04-27,Lagniappe Stage,5:25 PM,
Rumba Buena,2013-04-28,Congo Square Stage,11:15 AM,
The Zion Harmonizers,2013-04-28,Gospel Tent,1:45 PM,
AsheSon,2013-04-28,Jazz and Heritage Stage,2:55 PM,
Rising Dragon Lion Dance,2013-04-28,Kids Tent,1:30 PM,
Rising Dragon Lion Dance,2013-04-28,Kids Tent,3:50 PM,
Hot 8 Brass Band,2013-05-02,Congo Square Stage,1:25 PM,
The Chapman Family,2013-05-02,Gospel Tent,12:05 PM,
The Bolton Brothers,2013-05-02,Gospel Tent,3:45 PM,
Jesuit High School Band,2013-05-02,Kids Tent,5:15 PM,
The Honeypots,2013-05-02,Lagniappe Stage,12:55 PM,
Roy Ayers,2013-05-02,Zatarain's / WWOZ Jazz Tent,5:40 PM,
Papa Grows Funk,2013-05-03,Congo Square Stage,3:30 PM,
Holly Williams,2013-05-03,Gentilly Stage,12:15 PM,
Betty Winn and One A-Chord,2013-05-03,Gospel Tent,1:50 PM,
Jonte Landrum Thomas,2013-05-03,Gospel Tent,2:45 PM,
Grayson Capps,2013-05-03,Lagniappe Stage,4:00 PM,
Murder the Stout,2013-05-03,Lagniappe Stage,5:30 PM,
The Mighty Supremes,2013-05-04,Gospel Tent,12:00 PM,
Male Debale of Bahia - Brazil,2013-05-04,Parade,2:15 PM,
Kathy Taylor and Favor,2013-05-05,Gospel Tent,3:45 PM,
Hobgoblin Hill Puppets,2013-05-05,Kids Tent,3:00 PM,
Julio y Cesar Band,2013-05-05,Lagniappe Stage,1:40 PM,
Male Debale of Bahia - Brazil,2013-05-05,Parade,5:00 PM,
New Orleans Suspects,2013-04-26,Acura Stage,11:20 AM,
John Mooney and Bluesiana,2013-04-26,Blues Tent,2:40 PM,
Friendly Travelers,2013-04-26,Gospel Tent,12:00 PM,
Los Po-Boy-Citos,2013-04-26,Jazz and Heritage Stage,2:55 PM,
The Breton Sound,2013-04-26,Lagniappe Stage,11:40 AM,
John Michael Rouchell,2013-04-27,Acura Stage,12:15 PM,
Voices of Peter Claver,2013-04-27,Gospel Tent,12:50 PM,
True Man Posse,2013-04-27,Jazz and Heritage Stage,1:35 PM,
101 Runners,2013-04-27,Jazz and Heritage Stage,6:00 PM,
Panorama Jazz Band,2013-04-27,Lagniappe Stage,2:15 PM,
Hurray for the Riff Raff,2013-04-28,Acura Stage,11:15 AM,
Luther Kent and Trickbag,2013-04-28,Blues Tent,2:55 PM,
"Earth, Wind and Fire",2013-04-28,Congo Square Stage,5:30 PM,
Famous Rocks of Harmony,2013-04-28,Gospel Tent,11:10 AM,
The Dirty Dozen Brass Band,2013-05-02,Acura Stage,2:50 PM,
Jumpin' Johnny Sansone,2013-05-02,Blues Tent,1:40 PM,
The Mercy Brothers,2013-05-02,Gentilly Stage,11:15 AM,
Theresa Andersson,2013-05-02,Gentilly Stage,4:00 PM,
Angela the Yarnspinner,2013-05-02,Kids Tent,12:40 PM,
Bari Koral Family Rock Band,2013-05-03,Kids Tent,3:20 PM,
Maggie Koerner,2013-05-03,Lagniappe Stage,12:00 PM,
Sasha Masakowski,2013-05-03,Lagniappe Stage,2:35 PM,
Leah Chase,2013-05-03,Zatarain's / WWOZ Jazz Tent,1:30 PM,
JD and the Straight Shot,2013-05-04,Acura Stage,12:05 PM,
Robert Mirabel,2013-05-04,Congo Square Stage,2:10 PM,
Davell Crawford,2013-05-04,Congo Square Stage,3:40 PM,
The Revivalists,2013-05-04,Gentilly Stage,11:20 AM,
The Boutte Family Gospel,2013-05-04,Gospel Tent,2:40 PM,
The Johnson Extension,2013-05-04,Gospel Tent,5:05 PM,
Versailles Lion Dance Team,2013-05-04,Kids Tent,1:30 PM,
Jeannine Pasini Beekman,2013-05-04,Kids Tent,1:50 PM,
Versailles Lion Dance Team,2013-05-04,Kids Tent,3:50 PM,
Luke Winslow-King,2013-05-04,Lagniappe Stage,1:00 PM,
Jeffrey Osborne,2013-05-05,Congo Square Stage,3:20 PM,
TBC Brass Band,2013-05-05,Jazz and Heritage Stage,4:40 PM,
The Grayhawk Band,2013-05-05,Lagniappe Stage,12:30 PM,
John Boutte,2013-05-05,Zatarain's / WWOZ Jazz Tent,2:35 PM,
Wayne Toups and Zydecajun,2013-04-26,Acura Stage,2:20 PM,
Dr. John and The Nite Trippers,2013-04-26,Acura Stage,3:50 PM,
"Donald Harrison, Jr.",2013-04-26,Congo Square Stage,3:40 PM,
Zulu Gospel Male Ensemble,2013-04-26,Gospel Tent,11:10 AM,
Doc McKenzie and the Hi-Lites,2013-04-26,Gospel Tent,3:45 PM,
Lil' Buck Sinegal's Blues Band,2013-04-27,Blues Tent,1:30 PM,
Zena Moses and Rue Fiya,2013-04-27,Congo Square Stage,1:20 PM,
Rebirth Brass Band,2013-04-27,Congo Square Stage,3:40 PM,
The Voices of Distinction,2013-04-27,Gospel Tent,11:10 AM,
Big Sam's Funky Nation,2013-04-28,Congo Square Stage,1:50 PM,
Juan Luis Guerra y 440,2013-04-28,Congo Square Stage,3:25 PM,
Bamboula 2000,2013-04-28,Jazz and Heritage Stage,12:30 PM,
The Session,2013-04-28,Zatarain's / WWOZ Jazz Tent,12:20 PM,
Dianne Reeves,2013-04-28,Zatarain's / WWOZ Jazz Tent,4:10 PM,
Grupo Sensacion,2013-05-02,Congo Square Stage,11:10 AM,
Quinten Corvette,2013-05-02,Congo Square Stage,12:15 PM,
Lyle Henderson and Emanu-EL,2013-05-02,Gospel Tent,1:45 PM,
Pastor Tyrone Jefferson,2013-05-02,Gospel Tent,5:55 PM,
Amanda Shaw and the Cute Guys,2013-05-03,Acura Stage,12:45 PM,
Brushy One-String of Jamaica,2013-05-03,Blues Tent,2:55 PM,
