Name,Date,Venue,Time,Notes
Uganda,1974-04-20,Stage 4,5:30 PM,
De De Ward,1974-04-21,Stage 6,2:30 PM,
"Dr. Daddy-O , M.C.",1974-04-20,Gospel,,
Ernie K-Doe,1974-04-20,Stage 1 ,4:30 PM,
Uganda,1974-04-20,Stage 4,12:00 PM,
"Dr. Daddy-O , M.C.",1974-04-21,Gospel,,
Earl King,1974-04-21,Stage 4,4:00 PM,
The Meters,1974-04-20,Stage 1,3:30 PM,
Willie Tee,1974-04-21,Stage 1,3:30 PM,
Sam Alcorn,1974-04-21,Stage 3,1:30 PM,
Babe Stovall,1974-04-19,Stage 2,1:30 PM,
Babe Stovall,1974-04-19,Stage 3,3:30 PM,
Guy Richards,1974-04-19,Stage 4,1:00 PM,
R.L. Burnside,1974-04-19,Stage 4,4:00 PM,
Latin Chiefs,1974-04-19,Stage 6,5:30 PM,
Al Belletto,1974-04-20,Stage 5,4:30 PM,
James Rivers,1974-04-20,Stage 6,3:00 PM,
R.L. Burnside,1974-04-21,Stage 4,3:30 PM,
The Ott Family,1974-04-19,Gospel,3:00 PM,
The Chosen Few,1974-04-19,Gospel,4:45 PM,
Adolescence,1974-04-19,Stage 1,2:00 PM,
Patton's Pride,1974-04-19,Stage 3,2:00 PM,
Dave Williams,1974-04-19,Stage 5,5:30 PM,
Prayer Tower,1974-04-20,Gospel,1:00 PM,
Robert Parker,1974-04-20,Stage 1,2:30 PM,
Babe Stovall,1974-04-20,Stage 2,11:30 AM,
Snooks Eaglin,1974-04-20,Stage 2,1:00 PM,
The Stans Band,1974-04-20,Stage 3,12:00 PM,
The Jazzola Six,1974-04-20,Stage 3,1:00 PM,
Bob Greene Trio,1974-04-20,Stage 5,1:00 PM,
Johnny Shines,1974-04-20,Stage 6,5:30 PM,
Harold Lewis,1974-04-21,Gospel,4:00 PM,
Johnny Shines,1974-04-21,Stage 4,2:00 PM,
Guy Richards,1974-04-21,Stage 5,12:00 PM,
John Bentley,1974-04-21,Stage 5,12:00 PM,
Bob Greene Trio,1974-04-21,Stage 5,3:30 PM,
Adolescence,1974-04-19,Stage 1,11:00 AM,
Chocolate Milk,1974-04-19,Stage 1,5:00 PM,
Sady Courville,1974-04-19,Stage 2,4:00 PM,
Patton's Pride,1974-04-19,Stage 3,12:00 PM,
The Camelia Band,1974-04-19,Stage 3,1:00 PM,
Percy Randolph,1974-04-19,Stage 4,12:00 PM,
Jeanette Carter,1974-04-19,Stage 4,3:30 PM,
Onward Brass Band,1974-04-19,Stage 4,4:30 PM,
Texas Southern,1974-04-19,Stage 5,12:30 PM,
The Don Albert Band,1974-04-19,Stage 5,1:30 PM,
The Legends of Jazz,1974-04-19,Stage 5,2:30 PM,
Texas Southern,1974-04-19,Stage 5,3:30 PM,
Scottish Group,1974-04-20,Parade,2:30 PM,
Tommy Ridgley,1974-04-20,Stage 1,12:30 PM,
Benny Spellman,1974-04-20,Stage 1,2:30 PM,
Blanche Thomas,1974-04-20,Stage 3,3:30 PM,
Louis Cottrell,1974-04-20,Stage 3,3:30 PM,
Roosevelt Sykes,1974-04-20,Stage 3,4:40 PM,
Jeanette Carter,1974-04-20,Stage 4,2:00 PM,
Percy Randolph,1974-04-20,Stage 5,12:30 PM,
Scottish Group,1974-04-20,Stage 6,12:30 PM,
Wild Magnolias,1974-04-21,Stage 1,4:30 PM,
Clifton Chenier,1974-04-21,Stage 2,3:00 PM,
Roosevelt Sykes,1974-04-21,Stage 3,2:30 PM,
Jeanette Carter,1974-04-21,Stage 4,1:00 PM,
Tuts Washington,1974-04-21,Stage 5,1:30 PM,
The Russ Specials,1974-04-19,Gospel,2:15 PM,
The Jazztronauts,1974-04-19,Stage 1,11:40 AM,
