Germaine Bazzle,2019-04-27,WWOZ Jazz Tent,1:35 PM,1970 - First Festival Artist
The New Orleans Modern All-Stars,1970-04-24,Municipal Auditorium,10:00 AM,
Duke Ellington and His Orchestra,1970-04-25,Municipal Auditorium,8:00 PM,
Leo Nocentelli,2019-05-03,Gentilly Stage,1:35 PM,1970 - First Festival Artist
Sharkey Bonano and His Kings of Dixieland,1970-04-24,Municipal Auditorium,12:30 PM,
Little Freddie King Blues Band,2019-05-05,Blues Tent,12:20 PM,1970 - First Festival Artist
Preservation Hall Jazz Band,2019-04-27,Gentilly Stage,4:10 PM,1970 - First Festival Artist
Creole Fiesta Association singers and dancers,1970-04-23,Municipal Auditorium,3:00 PM,
Captain John Handy with Handy's Louisiana Shakers,1970-04-24,Municipal Auditorium,8:00 PM,
Sherman Washington's Zion Harmonizers,2019-04-27,Gospel Tent,1:55 PM,1970 - First Festival Artist
"George Porter, Jr. and Runnin' Pardners",2019-05-05,Gentilly Stage,11:20 AM,1970 - First Festival Artist
"Southern University Orchestra, Alvin Batiste, Director",1970-04-25,Municipal Auditorium,12:30 PM,
Gregg Stafford and his Young Tuxedo Brass Band,2019-05-04,Economy Hall Tent,2:55 PM,1970 - First Festival Artist
Al Belletto Quartet,1970-04-25,Municipal Auditorium,8:00 PM,"Richie Payne, Bill Newkirk, John Vidacovich"
Gerald French and the Original Tuxedo Jazz Band,2019-04-25,Economy Hall Tent,2:55 PM,1970 - First Festival Artist
Lars Edegran's New Orleans Ragtime Orchestra,2019-04-27,Economy Hall Tent,3:00 PM,1970 - First Festival Artist
Germaine Bazzle,1970-04-25,Municipal Auditorium,8:00 PM,"With Roger Dickerson, Jerry Greene, Herbert Taylor"
Big Chief Monk Boudreaux and the Golden Eagles,2019-04-28,Jazz & Heritage Stage,3:00 PM,1970 - First Festival Artist
Pete Fountain and his Orchestra,1970-04-22,The President,8:00 PM,"Mississippi River Jazz Cruise, Steamer President."
Lars Edegran Trio,2019-04-25,AARP Rhythmpourium,12:20 PM,started at 12:45 PM due to inclement weather; 1970 - First Festival Artist
Ragtime to Jelly Roll featuring Lars Edegran and Kris Tokarski,2019-04-25,Economy Hall Tent,4:20 PM,1970 - First Festival Artist
"George Porter, Jr.",2019-04-26,Allison Miner Music Heritage Stage,12:30 PM,Interviewer: David Fricke; 1970 - First Festival Artist
Orange Kellin's New Orleans DeLuxe Orchestra,2019-05-04,Economy Hall Tent,12:25 PM,pushed back to 12:45 PM; 1970 - First Festival Artist
Germaine Bazzle,2019-04-27,Allison Miner Music Heritage Stage,3:45 PM,Interviewer: Jason Patterson; 1970 - First Festival Artist
Johnny Vidacovich,2019-04-28,Allison Miner Music Heritage Stage,12:00 PM,Interviewer: Bruce Raeburn; 1970 - First Festival Artist
A Sacred Concert: Duke Ellington and His Orchestra,1970-04-26,Municipal Auditorium,2:30 PM,Originally meant to be at St. Louis Cathedral
Louis Cottrell and Onward Brass Band Remembered featuring Dr. Michael White,2019-04-27,Economy Hall Tent,4:25 PM,1970 - First Festival Artist
