Name,Date,Venue,Time,Notes
Meyers Bros. Bluegrass Boys,1972-04-29,Country/Cajun,,
The All-Star Mamou Cajun Band,1972-04-29,Country/Cajun,,
Meyers Bros. Bluegrass Boys,1972-04-30,Country/Cajun,,
The All-Star Mamou Cajun Band,1972-04-30,Country/Cajun,,
Fairview Christian Marching Band,1972-04-27,Jazz Tent,,
Fairview Christian Marching Band,1972-04-28,Jazz Tent,,
Wild Bill Davison,1972-04-28,Main Ballroom - Jung Hotel,8:00 PM,
Fairview Christian Marching Band,1972-04-29,Jazz Tent,,
Tuxedo Brass Band,1972-04-29,Municipal Auditorium,8:00 PM,
Fairview Christian Marching Band,1972-04-30,Jazz Tent,,
The World's Greatest Jazz Band,1972-04-26,The President,8:00 PM,
Margie Joseph,1972-04-27,Soul,,"With backing band, Twilights"
Murphy Campo Sextet,1972-04-28,Main Ballroom - Jung Hotel,8:00 PM,
Sweet Emma Barrett,1972-04-28,Main Ballroom - Jung Hotel,8:00 PM,
Tribute to Jelly Roll ,1972-04-28,Main Ballroom - Jung Hotel,8:00 PM,
Margie Joseph,1972-04-28,Soul,,"With backing band, Twilights"
Mardi Gras Indians,1972-04-29,Municipal Auditorium,8:00 PM,
Margie Joseph,1972-04-29,Soul,,"With backing band, Twilights"
Margie Joseph,1972-04-30,Soul,,"With backing band, Twilights"
Percy Humphrey Sextet,1972-04-28,Main Ballroom - Jung Hotel,8:00 PM,
Allen Fontenot and The Country Cajuns,1972-04-27,Country/Cajun,,
Hubert Davis and the Season Travelers,1972-04-27,Country/Cajun,,
Allen Fontenot and The Country Cajuns,1972-04-28,Country/Cajun,,
Hubert Davis and the Season Travelers,1972-04-28,Country/Cajun,,
Allen Fontenot and The Country Cajuns,1972-04-29,Country/Cajun,,
Hubert Davis and the Season Travelers,1972-04-29,Country/Cajun,,
Allen Fontenot and The Country Cajuns,1972-04-30,Country/Cajun,,
Hubert Davis and the Season Travelers,1972-04-30,Country/Cajun,,
Deacon John and Duckbutter,1972-04-27,Soul,,With drummer James Black
Professor Longhair,1972-04-27,Soul,,"With guitarist, Snooks Eaglin"
The Louis Cottrell Orchestra,1972-04-28,Main Ballroom - Jung Hotel,8:00 PM,
Deacon John and Duckbutter,1972-04-28,Soul,,With drummer James Black
Professor Longhair,1972-04-28,Soul,,"With guitarist, Snooks Eaglin"
Deacon John and Duckbutter,1972-04-29,Soul,,With drummer James Black
