Name,Date,Venue,Time,Notes
Sex Dog,1980-04-18,Stage 1,1:30 PM,
Svare,1980-04-19,Gazebo A,4:00 PM,
Joe Simon,1980-04-19,Jazz,1:15 PM,
Exuma,1980-04-19,Koindu,3:00 PM,
Bois Sec ,1980-04-19,Stage 2,1:30 PM,
Fiebre,1980-04-19,Stage 3,5:00 PM,
B.B. King,1980-04-19,Stage 4,3:30 PM,
Hal Kelley,1980-04-18,Jazz,1:15 PM,
One Mo' Time,1980-04-18,Jazz,3:30 PM,
Odetta,1980-04-20,Koindu,3:45 PM,
Dixi-Kups,1980-04-20,Stage 3,2:00 PM,
Earl King,1980-04-20,Stage 3,4:00 PM,
Equinox,1980-04-18,Gazebo A,3:45 PM,
Tommy Yetta  ,1980-04-18,Jazz,2:15 PM,
Keystone,1980-04-18,Stage 3,4:00 PM,
Bai Konte,1980-04-19,Gazebo A,1:30 PM,
Will Soto,1980-04-19,Gazebo A,3:00 PM,
Joker's Wild ,1980-04-19,Kids  ,2:00 PM,
Bai Konte,1980-04-19,Koindu,4:15 PM,
Bai Konte,1980-04-20,Gazebo B,3:15 PM,
Bai Konte,1980-04-20,Koindu,1:00 PM,
Etta James,1980-04-20,Stage 4,3:15 PM,
Bongo Joe,1980-04-26,Gazebo A,1:00 PM,
Andy Moses,1980-04-26,Jazz,12:00 PM,
Salt Creek,1980-04-26,Stage 3,2:00 PM,
Tavasco,1980-04-26,Stage 4,12:00 PM,
Bongo Joe,1980-04-27,Gazebo A,5:45 PM,
Lee Dorsey,1980-04-27,Stage 4,3:30 PM,
Art Ryder,1980-04-18,Gazebo B,12:00 PM,
"Unlimited, Ltd.",1980-04-18,Kids  ,1:00 PM,
Eluard Burt,1980-04-18,Stage 2,1:45 PM,
Willie Cole,1980-04-18,Stage 2,5:15 PM,
Woodenhead,1980-04-18,Stage 3,2:15 PM,
Muchos Plus,1980-04-18,Stage 3,5:15 PM,
UNO Lab Band,1980-04-18,Stage 4,11:45 AM,
Porgy Jones,1980-04-18,Stage 4,3:15 PM,
"Unlimited, Ltd.",1980-04-19,Kids  ,1:00 PM,
"Unlimited, Ltd.",1980-04-19,Kids  ,3:00 PM,
UNO Jazz Band,1980-04-19,Stage 1,11:45 AM,
Pete Seeger,1980-04-19,Stage 1,5:15 PM,
Teddy Riley,1980-04-19,Stage 2,12:30 PM,
Tim Williams ,1980-04-19,Stage 3,2:00 PM,
Willie Tee,1980-04-19,Stage 4,12:30 PM,
Cousin Joe,1980-04-20,Gazebo B,1:30 PM,
June Gardner ,1980-04-20,Jazz,12:15 PM,
"Unlimited, Ltd.",1980-04-20,Kids  ,1:00 PM,
"Unlimited, Ltd.",1980-04-20,Kids  ,3:00 PM,
Fun Lovers,1980-04-20,Parade,2:30 PM,
Scooter Lee,1980-04-20,Stage 1,12:45 PM,
Dave Brubeck  ,1980-04-20,Stage 1,2:45 PM,
SUNO Big Band,1980-04-20,Stage 4,12:00 PM,
Hot Strings,1980-04-26,Gazebo B,4:15 PM,
Jimmie Brown,1980-04-26,Kids  ,1:00 PM,
Irma Thomas,1980-04-26,Stage 1,4:15 PM,
James Booker,1980-04-26,Stage 4,3:00 PM,
Muddy Waters  ,1980-04-26,Stage 4,4:00 PM,
Fats Domino,1980-04-26,Stage 4,5:15 PM,
Bongo Joe,1980-04-27,Gazebo A,12:30 PM,
Chief Jolly,1980-04-27,Gazebo B,2:30 PM,
Dutch Andrus,1980-04-27,Jazz,1:30 PM,
Jimmie Brown,1980-04-27,Kids  ,1:00 PM,
Johnny Adams,1980-04-27,Stage 1,1:15 PM,
Muddy Waters ,1980-04-27,Stage 1,4:30 PM,
Doc Paulin  ,1980-04-27,Stage 2,12:00 PM,
Marcia Ball,1980-04-27,Stage 3,4:00 PM,
Deacon John,1980-04-27,Stage 3,5:00 PM,
James Rivers,1980-04-27,Stage 4,1:30 PM,
George Dorko,1980-04-18,Gazebo A,2:30 PM,
C and B Ensemble,1980-04-18,Gospel,1:30 PM,
Tuxedo Jazz Band,1980-04-18,Jazz,5:00 PM,
Irving McLean,1980-04-18,Stage 3,3:30 PM,
Black Eagles,1980-04-20,Gazebo B,4:15 PM,
The Ott Family,1980-04-20,Gospel,4:00 PM,
Jerry Lee Lewis,1980-04-20,Stage 1,4:00 PM,
Snooks Eaglin,1980-04-20,Stage 2,2:30 PM,
Los Catrochos,1980-04-20,Stage 3,5:15 PM,
Dr. John,1980-04-24,The President,7:00 PM,
R.L. Burnside,1980-04-26,Gazebo A,4:30 PM,
R.L. Burnside,1980-04-26,Gazebo B,1:15 PM,
Divine Grace,1980-04-26,Gospel,1:00 PM,
R.L. Burnside,1980-04-27,Gazebo A,4:00 PM,
Sid Selvidge,1980-04-27,Gazebo B,4:30 PM,
Astral Project,1980-04-27,Jazz,4:30 PM,
Percy Humphrey  ,1980-04-27,Jazz,5:30 PM,
Bryan Parris,1980-04-27,Koindu,2:00 PM,
The Radiators,1980-04-27,Stage 3,2:00 PM,
Yellow Jackets,1980-04-18,Gazebo B,4:00 PM,
Joseph Davis,1980-04-18,Gospel,12:30 PM,
Soul Searchers,1980-04-18,Gospel,5:30 PM,
NOCCA Jazz Group,1980-04-18,Stage 2,12:30 PM,
New Jazz Quintet,1980-04-18,Stage 3,1:00 PM,
B.B. King,1980-04-18,The President,12:00 AM,
B.B. King,1980-04-18,The President,7:00 PM,
Earl King,1980-04-18,The President,7:00 PM,
Taj Mahal,1980-04-18,The President,7:00 PM,
Chris Smither,1980-04-19,Gazebo A,12:30 PM,
Carlos Sanchez,1980-04-19,Gazebo B,2:15 PM,
Chris Smither,1980-04-19,Gazebo B,3:45 PM,
Hope Ensemble,1980-04-19,Gospel,1:30 PM,
Roosevelt Sykes,1980-04-19,Stage 2,2:30 PM,
Society Jazz Band,1980-04-19,Stage 2,3:30 PM,
Zydeco Machine,1980-04-19,Stage 3,4:00 PM,
Wild Magnolias,1980-04-19,Stage 4,1:15 PM,
Chocolate Milk,1980-04-19,Stage 4,2:15 PM,
