Name,Date,Venue,Time,Notes
Java,1985-04-26,Stage 2,3:00 PM,
Nieve,1985-04-26,Stage 2,12:00 PM,
The Cold,1985-04-26,Stage 3,4:15 PM,
Bar-Kays,1985-04-27,Stage 1,3:30 PM,
A-Train,1985-04-27,Stage 2,4:30 PM,
Dr. John,1985-04-28,Stage 3,3:45 PM,
Run DMC,1985-05-04,Stage 3,3:45 PM,
Exuma,1985-05-05,Koindu,5:30 PM,
File,1985-04-26,WWL-TV Stage 4,4:45 PM,
Ry Cooder,1985-05-05,Stage 1,4:30 PM,
Roy Ayers,1985-05-05,Stage 2,5:30 PM,
Willie Tee,1985-04-27,Stage 3,1:15 PM,
Family,1985-05-04,Koindu,12:15 PM,
Lee Dorsey,1985-05-04,Stage 1,4:30 PM,
Doc Watson,1985-05-04,Stage 2,4:00 PM,
Caliente,1985-05-05,Stage 2,2:45 PM,
Mars,1985-04-26,Festival Tent,4:45 PM,
Los Cometas,1985-04-26,Koindu,1:15 PM,
The Up Towners,1985-04-26,Stage 1,1:30 PM,
Retsam D'Nim,1985-04-26,Stage 1,2:30 PM,
Bourre,1985-04-27,WWL-TV Stage 4,2:30 PM,
Roy Orbison,1985-04-28,Stage 3,5:15 PM,
Will Soto  ,1985-04-28,WWL-TV Stage 4,4:30 PM,
Marcia Ball,1985-05-04,Stage 1,3:00 PM,
Albert King,1985-05-04,Stage 1,6:00 PM,
Third World,1985-05-04,Stage 3,5:15 PM,
UNO Jazz Band,1985-05-05,Stage 1,12:00 PM,
Tania Maria,1985-05-05,Stage 2,4:00 PM,
Bonnie Raitt,1985-05-05,Stage 3,2:15 PM,
Doug Kershaw,1985-05-05,Stage 3,5:15 PM,
High Quality,1985-04-26,Koindu,2:15 PM,
Martha Reeves,1985-04-27,Stage 3,2:30 PM,
The Radiators,1985-05-05,Stage 1,3:00 PM,
Jazz Cats,1985-04-26,Economy Hall,12:15 PM,
Jasmine,1985-04-26,Festival Tent,3:30 PM,
Lady BJ Spectrum,1985-04-26,Koindu,4:30 PM,
J.D. and The Jammers,1985-04-26,Stage 3,1:15 PM,
John Rankin,1985-04-26,WWL-TV Stage 4,3:30 PM,
Cousin Joe,1985-04-27,Economy Hall,1:15 PM,
Ladies Zulu SAPC,1985-04-27,Parade,3:00 PM,
The Jammers SAPC,1985-04-27,Parade,3:00 PM,
Van Williams,1985-04-27,WWL-TV Stage 4,3:45 PM,
Dewey Balfa  ,1985-04-27,WWL-TV Stage 4,4:45 PM,
Rocking Sidney,1985-04-28,Stage 1,1:30 PM,
Creole Wild West,1985-05-04,Koindu,4:15 PM,
Ry Cooder,1985-05-04,The President,7:00 PM,
Olympia Aid SAPC,1985-05-05,Parade,5:15 PM,
Allen Toussaint,1985-05-05,Stage 1,6:00 PM,
Beausoleil,1985-05-05,WWL-TV Stage 4,2:15 PM,
Dave Van Ronk,1985-05-05,WWL-TV Stage 4,3:30 PM,
Banu Gibson,1985-04-26,Economy Hall,1:30 PM,
Rebirth Brass Band,1985-04-26,Parade,4:00 PM,
J. Monque'D Blues Band,1985-04-26,Stage 1,12:15 PM,
Leo Kottke,1985-04-27,Festival Tent,4:45 PM,
The Shepherd Band,1985-04-28,Koindu,4:00 PM,
SUNO Jazz Ensemble,1985-04-28,Stage 1,12:30 PM,
The Staple Singers,1985-04-28,Stage 1,4:30 PM,
Van Williams,1985-04-28,WWL-TV Stage 4,12:00 PM,
Spyro Gyra,1985-05-01,The President,9:00 PM,
Albert King,1985-05-02,The President,8:00 PM,
Tania Maria,1985-05-03,The President,7:00 PM,
Third World,1985-05-03,The President,7:00 PM,
Treme Sports SAPC,1985-05-04,Parade,3:45 PM,
Ry Cooder,1985-05-04,The President,12:00 AM,
Klaus Weiland,1985-05-04,WWL-TV Stage 4,12:30 PM,
Svare Forsland,1985-05-04,WWL-TV Stage 4,1:45 PM,
Al Farrell,1985-05-05,Festival Tent,12:30 PM,
Chris Owens,1985-05-05,Festival Tent,1:45 PM,
Olympia Brass Band,1985-05-05,Parade,5:15 PM,
Sally Townes,1985-04-26,Festival Tent,1:15 PM,
Sixth Ward Swingers,1985-04-26,Parade,4:00 PM,
The Batiste Brothers,1985-04-26,Stage 1,5:15 PM,
Uncle Stan and Aunt Vera,1985-04-26,Stage 3,2:45 PM,
Ray Bonneville  ,1985-04-26,WWL-TV Stage 4,12:00 PM,
Woodenhead,1985-04-27,Festival Tent,1:00 PM,
White Cloud Hunters,1985-04-27,Koindu,2:15 PM,
Boogie Bill Webb,1985-04-27,WWL-TV Stage 4,12:00 PM,
