Name,Date,Venue,Time,Notes
Eddie Bo,1977-04-16,Stage 3,4:30 PM,
Coteau,1977-04-16,Stage 5,4:30 PM,
Odetta  ,1977-04-23,Stage 3,5:30 PM,
Earl King,1977-04-16,Stage 1,3:00 PM,
Ernie K-Doe,1977-04-23,Stage 1,4:00 PM,
Bongo Joe,1977-04-15,Gazebo B,4:00 PM,
Bongo Joe,1977-04-16,Gazebo B,3:30 PM,
Lee Dorsey,1977-04-16,Stage 1,3:30 PM,
The Meters,1977-04-16,Stage 4,5:00 PM,
Bongo Joe,1977-04-17,Gazebo A,3:30 PM,
Salt Creek,1977-04-22,Stage 1,5:00 PM,
Dixie Blue,1977-04-22,Stage 2,1:30 PM,
Tony Owens,1977-04-22,Stage 4,3:30 PM,
Willie Tee  ,1977-04-23,Stage 4,2:00 PM,
Kid Jordan,1977-04-24,Stage 3,2:00 PM,
King Floyd,1977-04-24,Stage 4,3:00 PM,
Cornbread,1977-04-15,Gazebo C,1:00 PM,
Sources,1977-04-15,Jazz Tent,3:30 PM,
Felicity,1977-04-15,Jazz Tent,5:30 PM,
Woodenhead,1977-04-15,Stage 1,2:00 PM,
Bo Tyler Band,1977-04-15,Stage 1,3:30 PM,
Cornbread,1977-04-15,Stage 5,3:00 PM,
Aline White,1977-04-16,Gospel,1:00 PM,
Bob Greene,1977-04-16,Jazz Tent,2:30 PM,
Black Eagles,1977-04-16,Stage 2,4:30 PM,
The Dixie Cups,1977-04-16,Stage 4,1:00 PM,
Balfa Freres,1977-04-16,Stage 5,2:30 PM,
Ott Family,1977-04-17,Gospel,2:30 PM,
Bob Greene,1977-04-17,Jazz Tent,1:30 PM,
Jessie Hill,1977-04-17,Stage 1,5:00 PM,
Al Belletto,1977-04-17,Stage 3,2:30 PM,
Henry Butler,1977-04-17,Stage 3,3:00 PM,
UNO Jazz Band,1977-04-17,Stage 4,1:00 PM,
Johnny Adams,1977-04-17,Stage 4,3:00 PM,
Dixie Blue,1977-04-22,Gazebo C,4:00 PM,
UNO Lab Band,1977-04-22,Stage 4,12:00 PM,
Deacon John,1977-04-22,Stage 4,2:30 PM,
Emile Guess,1977-04-23,Gazebo A,2:00 PM,
SUNO Big Band,1977-04-23,Stage 1,12:30 PM,
Los Monarcas,1977-04-23,Stage 1,5:00 PM,
James Booker,1977-04-23,Stage 3,4:00 PM,
Emile Guess,1977-04-24,Gazebo B,4:00 PM,
Irma Thomas,1977-04-24,Stage 4,2:00 PM,
Muchos Plus,1977-04-24,Stage 5,2:00 PM,
George Dorko,1977-04-15,Gazebo B,2:30 PM,
NOCCA Jazz Band,1977-04-15,Stage 3,1:00 PM,
Ronnie Kole,1977-04-16,Jazz Tent,2:00 PM,
Guy Richards,1977-04-17,Gazebo C,2:30 PM,
Aaron Neville,1977-04-17,Stage 4,2:30 PM,
Los Catrochos,1977-04-17,Stage 4,4:30 PM,
Gospel Seals,1977-04-22,Gospel,4:30 PM,
Louisiana Red,1977-04-22,Stage 3,4:00 PM,
Butch Mudbone,1977-04-22,Stage 5,1:00 PM,
Guy Richards,1977-04-23,Gazebo C,1:00 PM,
Bois Sec Ardoin,1977-04-23,Stage 2,4:30 PM,
Butch Mudbone,1977-04-23,Stage 3,1:00 PM,
Snooks Eaglin,1977-04-23,Stage 4,3:30 PM,
Papa French,1977-04-24,Jazz Tent,5:00 PM,
Mark Naftalin,1977-04-24,Stage 3,3:00 PM,
Tommy Ridgley,1977-04-24,Stage 4,1:30 PM,
Larry Coryell,1977-04-24,Stage 4,4:00 PM,
Butch Mudbone,1977-04-24,Stage 4,4:30 PM,
Gospel Primes,1977-04-15,Gospel,3:00 PM,
Christ Elites,1977-04-15,Gospel,5:15 PM,
Dave Williams,1977-04-15,Jazz Tent,1:30 PM,
US Navy Steel Band,1977-04-15,Stage 4,4:30 PM,
Balfa Freres,1977-04-16,Gazebo B,12:30 PM,
Big Joe Williams,1977-04-16,Gazebo C,4:30 PM,
Hope Ensemble,1977-04-16,Gospel,3:00 PM,
Loyola Jazz Band,1977-04-16,Stage 1,12:30 PM,
Tuxedo Brass Band,1977-04-16,Stage 2,3:30 PM,
Big Joe Williams,1977-04-16,Stage 3,2:00 PM,
Chocolate Milk,1977-04-16,Stage 4,3:30 PM,
Andrew Jackson,1977-04-17,Gazebo A,1:00 PM,
Big Joe Williams,1977-04-17,Gazebo C,1:30 PM,
Masonic Kings,1977-04-17,Gospel,2:00 PM,
Gospeltones,1977-04-17,Gospel,3:30 PM,
Notes of Harmony,1977-04-17,Gospel,4:00 PM,
Raymond Burke,1977-04-17,Jazz Tent,1:00 PM,
U.S. Navy Steel Band,1977-04-17,Stage 1,1:00 PM,
