Name,Date,Venue,Time,Notes
007,2005-04-24,Acura Stage,11:20 AM,
Dr. John,2005-04-24,Acura Stage,3:35 PM,
Mr. Richard,2005-04-29,Kids Tent,1:30 PM,
Judy Stock,2005-05-01,Kids Tent,3:00 PM,
Randy Erwin,2005-04-23,Kids Tent,2:45 PM,
New Look SA&PC,2005-04-24,Parade,2:00 PM,
Hot 8 Brass Band,2005-04-24,Parade,4:00 PM,
Bill Solley,2005-04-24,Kids Tent,11:30 AM,
Kayla Woodson,2005-04-24,Kids Tent,5:15 PM,
Ellipsis,2005-04-28,Acura Stage,11:05 AM,
Kem,2005-04-29,Congo Square Stage,5:40 PM,
Rosa Metoyer,2005-04-29,Kids Tent,6:00 PM,
Galactic,2005-04-30,Acura Stage,3:25 PM,
Bonerama,2005-05-01,Acura Stage,12:35 PM,
Nine Times SA&PC,2005-05-01,Parade,4:00 PM,
Steve Winwood,2005-04-22,Acura Stage,5:30 PM,
Vivid,2005-04-22,Congo Square Stage,12:20 PM,
Vivaz!,2005-04-22,Congo Square Stage,1:25 PM,
Zap Mama,2005-04-22,Congo Square Stage,5:50 PM,
Olayeela Daste,2005-04-22,Kids Tent,6:00 PM,
Olympia Brass Band,2005-04-22,Parade,1:00 PM,
Stooges Brass Band,2005-04-22,Parade,3:00 PM,
Wilco,2005-04-22,Sprint/Sanyo Stage,5:35 PM,
The Boogie Men,2005-04-23,Acura Stage,12:05 PM,
James Taylor,2005-04-23,Acura Stage,5:40 PM,
Rose Anne St. Romain,2005-04-23,Kids Tent,4:00 PM,
Single Men SA&PC,2005-04-23,Parade,12:00 PM,
Lady Rollers SA&PC,2005-04-23,Parade,2:00 PM,
Men Rollers SA&PC,2005-04-23,Parade,2:00 PM,
Brian Wilson,2005-04-24,Acura Stage,5:30 PM,
Juanes,2005-04-24,Congo Square Stage,5:45 PM,
Colleen Salley,2005-04-24,Kids Tent,12:30 PM,
Olympia Aid SA&PC,2005-04-24,Parade,12:00 PM,
Furious Five SA&PC,2005-04-24,Parade,4:00 PM,
Nelly ,2005-04-24,Sprint/Sanyo Stage,5:50 PM,
The subdudes,2005-04-28,Acura Stage,2:35 PM,
Nickel Creek,2005-04-28,Acura Stage,4:00 PM,
Jack Johnson,2005-04-28,Acura Stage,5:35 PM,
New Wave Brass Band,2005-04-28,Parade,1:00 PM,
B.B. King,2005-04-28,Sprint/Sanyo Stage,5:50 PM,
Tondr-e,2005-04-29,Congo Square Stage,2:50 PM,
Ledisi,2005-04-29,Congo Square Stage,4:05 PM,
Lady Ruler SA&PC,2005-04-29,Parade,11:15 AM,
Sheri,2005-04-29,Rhodes Gospel Tent,4:30 PM,
Algiers Brass Band,2005-04-30,Parade,2:00 PM,
Eric McAllister,2005-05-01,Kids Tent,1:45 PM,
