Name,Date,Venue,Time,Notes
ZZ Top,2007-05-04,Acura Stage,5:35 PM,
Dr. John,2007-04-27,Acura Stage,3:45 PM,
Big Nine SA&PC,2007-04-27,Parade,3:00 PM,
New Look SA&PC,2007-04-29,Parade,2:00 PM,
Hot 8 Brass Band,2007-04-29,Parade,4:00 PM,
TBC Brass Band,2007-05-04,Parade,4:00 PM,
007,2007-05-06,Gentilly Stage,11:25 AM,
Rod Stewart,2007-04-28,Acura Stage,5:30 PM,
Marcia Ball,2007-04-29,Acura Stage,2:10 PM,
Galactic,2007-05-05,Acura Stage,3:30 PM,
John Mayer,2007-05-05,Acura Stage,5:30 PM,
Steely Dan,2007-05-06,Acura Stage,3:35 PM,
Van Morrison,2007-04-27,Acura Stage,5:35 PM,
Eddie Bo,2007-04-27,Gentilly Stage,11:30 AM,
Rebirth Brass Band,2007-04-27,Parade,1:00 PM,
Johnny Rivers,2007-04-28,Acura Stage,3:30 PM,
Calexico,2007-04-28,Gentilly Stage,3:50 PM,
Dumaine Gang SA&PC,2007-04-28,Parade,4:00 PM,
Brad Paisley,2007-04-29,Acura Stage,5:40 PM,
Colleen Salley,2007-04-29,Kids' Tent,1:45 PM,
Olympia Aid SA&PC,2007-04-29,Parade,2:00 PM,
Furious Five SA&PC,2007-04-29,Parade,4:00 PM,
Stooges Brass Band,2007-05-04,Parade,2:00 PM,
Frankie Ford,2007-05-06,Acura Stage,11:25 AM,
Joss Stone,2007-05-06,Gentilly Stage,3:45 PM,
Lady Rollers SA&PC,2007-05-06,Parade,2:00 PM,
Tornado Brass Band,2007-05-06,Parade,2:00 PM,
Original Four SA&PC,2007-04-27,Parade,1:00 PM,
Single Ladies SA&PC,2007-04-27,Parade,1:00 PM,
Mahogany Brass Band,2007-04-28,Parade,2:00 PM,
NewBirth Brass Band,2007-04-28,Parade,4:00 PM,
Jo Cool Davis,2007-04-29,AIG Gospel Tent,11:30 AM,
Lil' Band O' Gold,2007-05-04,Acura Stage,12:35 PM,
Fi Yi Yi,2007-05-04,Jazz and Heritage Stage,1:35 PM,
Lady Sequence SA&PC,2007-05-04,Parade,4:00 PM,
Leah Chase,2007-05-05,AT&T/WWOZ Jazz Tent,1:25 PM,
Pin-Stripe Brass Band,2007-05-05,Parade,2:00 PM,
Harry Connick Jr.,2007-05-06,Acura Stage,5:45 PM,
The Jazz Jam,2007-05-06,AT&T/WWOZ Jazz Tent,6:00 PM,
Pinettes Brass Band,2007-05-06,Parade,4:00 PM,
J.J. Grey and MOFRO,2007-04-27,Acura Stage,12:45 PM,
Shades of Praise,2007-04-27,AIG Gospel Tent,2:30 PM,
