Name,Date,Venue,Time,Notes
Exuma,1978-04-14,Gazebo A,4:00 PM,
Exuma,1978-04-14,Stage 4,2:00 PM,
M.G. Funk,1978-04-14,Stage 4,3:30 PM,
Exuma,1978-04-15,Gazebo C ,4:00 PM,
Exuma,1978-04-15,Stage 1,1:30 PM,
Odetta,1978-04-15,Stage 1,4:00 PM,
B.B. King,1978-04-15,Stage 4,4:00 PM,
Exuma,1978-04-16,Gazebo C,4:30 PM,
Exuma,1978-04-16,Stage 2,2:00 PM,
Odetta,1978-04-16,Stage 3,5:00 PM,
Uganda,1978-04-08,Gazebo C,3:00 PM,
Uganda,1978-04-08,Stage 2,12:00 PM,
Earl King,1978-04-08,Stage 3,3:30 PM,
Uganda,1978-04-09,Gazebo B,5:00 PM,
Uganda,1978-04-09,Gazebo C,2:00 PM,
Doc Watson,1978-04-08,Stage 1,3:30 PM,
Dixie Blue,1978-04-08,Stage 2,1:00 PM,
Lee Dorsey,1978-04-08,Stage 4,3:00 PM,
Bongo Joe,1978-04-14,Gazebo B,3:00 PM,
Keystone,1978-04-14,Stage 1,3:00 PM,
Dixie Blue,1978-04-14,Stage 2,3:00 PM,
Cousin Joe,1978-04-14,Stage 3,3:30 PM,
Spectrum,1978-04-14,Stage 4,5:00 PM,
Bongo Joe,1978-04-15,Gazebo C,1:00 PM,
Willie Tee,1978-04-15,Stage 3,2:00 PM,
Bongo Joe,1978-04-16,Gazebo C,1:00 PM,
Bob Greene,1978-04-07,Jazz Tent,3:00 PM,
Marcia Ball,1978-04-07,Stage 1,3:00 PM,
Archer Dunn,1978-04-07,Stage 2,4:30 PM,
UNO Lab Band,1978-04-07,Stage 4,12:30 PM,
Dixie Blue,1978-04-08,Gazebo A,3:00 PM,
Don Ewell,1978-04-08,Jazz Tent,1:30 PM,
Kid Jordan,1978-04-08,Jazz Tent,4:30 PM,
UNO Jazz Band,1978-04-08,Stage 1,12:00 PM,
Scooter Lee,1978-04-08,Stage 4,2:00 PM,
Doug Kershaw,1978-04-08,Stage 4,4:30 PM,
Emile Guess,1978-04-09,Gazebo A,1:30 PM,
Emile Guess,1978-04-09,Gazebo B,3:30 PM,
Furry Lewis,1978-04-09,Gazebo C,3:30 PM,
Ott Family,1978-04-09,Gospel,3:00 PM,
Bob Greene,1978-04-09,Jazz Tent,1:00 PM,
Don Albert,1978-04-09,Jazz Tent,3:00 PM,
Barbara Lynn,1978-04-09,Stage 1,1:00 PM,
Black Eagles,1978-04-09,Stage 3,1:30 PM,
The Dixie Cups,1978-04-09,Stage 4,1:30 PM,
Dixie Blue,1978-04-14,Gazebo C,1:00 PM,
Blues David  ,1978-04-14,Gazebo C,3:00 PM,
Ott Family,1978-04-14,Gospel,1:00 PM,
Aline White,1978-04-14,Gospel,3:00 PM,
Eric Levy,1978-04-14,Jazz Tent,4:00 PM,
B.B. King,1978-04-14,S.S. Admiral,8:00 PM,
Ron Johnson,1978-04-14,Stage 1,1:00 PM,
Eluard Burt,1978-04-14,Stage 2,1:00 PM,
Jokers Wild,1978-04-15,Gazebo B,3:00 PM,
Tommy Yetta,1978-04-15,Stage 2,3:00 PM,
