Name,Date,Venue,Time,Notes
MC,1975-04-25,Gospel,,
MC,1975-04-26,Gospel,,
MC,1975-04-27,Gospel,,
M.G. Funk,1975-04-25,Stage 1,2:30 PM,
Omega 2+5,1975-04-25,Stage 1,5:00 PM,
Imani,1975-04-25,Stage 4,5:30 PM,
Imani,1975-04-27,Stage 5,1:00 PM,
Earl King,1975-04-26,Stage 1,2:00 PM,
Ernie K-Doe,1975-04-26,Stage 1,3:30 PM,
Marc Savoy,1975-04-25,Stage 6,4:00 PM,
Lee Dorsey,1975-04-26,Stage 1,2:00 PM,
The Meters,1975-04-26,Stage 1,4:00 PM,
Willie Tee,1975-04-27,Stage 1,4:00 PM,
B.B. King,1975-04-24,S.S. Admiral,8:00 PM,
Deacon John,1975-04-25,Stage 1,1:30 PM,
James Booker,1975-04-25,Stage 2,2:00 PM,
R.L. Burnside,1975-04-25,Stage 4,5:00 PM,
Chris Kenner,1975-04-25,Stage 6,3:00 PM,
Cornbread,1975-04-26,Stage 2,2:00 PM,
Polka Dot Slim,1975-04-26,Stage 3,2:30 PM,
James Rivers,1975-04-26,Stage 4,2:00 PM,
Los Monarcas,1975-04-26,Stage 4,5:00 PM,
James Booker,1975-04-26,Stage 5,2:30 PM,
R.L. Burnside,1975-04-26,Stage 5,3:30 PM,
Sagitarios,1975-04-27,Stage 1,1:30 PM,
Al Belletto,1975-04-27,Stage 2,4:00 PM,
R.L. Burnside,1975-04-27,Stage 6,2:00 PM,
Irma Thomas,1975-04-27,Stage 6,3:30 PM,
Murphy Campo,1975-04-25,Stage 2,12:30 PM,
Dave Williams,1975-04-25,Stage 2,5:00 PM,
Sammy Berfect,1975-04-25,Stage 3,2:30 PM,
Adolescence,1975-04-25,Stage 5,2:00 PM,
Dennis McGhee,1975-04-25,Stage 5,5:00 PM,
Robert Parker,1975-04-26,Stage 1,3:00 PM,
Tommy Ridgley,1975-04-26,Stage 1,3:00 PM,
Bois Sec Ardoin,1975-04-26,Stage 2,3:30 PM,
The Ott Family,1975-04-27,Gospel,1:00 PM,
Music Factory,1975-04-27,Stage 1,2:30 PM,
The New Quartet,1975-04-27,Stage 2,3:00 PM,
Los Catrachos,1975-04-27,Stage 4,5:00 PM,
UNO Stage Band,1975-04-27,Stage 5,12:00 PM,
Fats Domino,1975-04-24,S.S. Admiral,8:00 PM,
McCoy Tyner,1975-04-25,S.S. Admiral,8:00 PM,
Sady Courville,1975-04-25,Stage 5,5:00 PM,
Chocolate Milk,1975-04-26,Stage 1,1:00 PM,
Benny Spellman,1975-04-26,Stage 1,3:30 PM,
Roosevelt Sykes,1975-04-26,Stage 5,5:30 PM,
Tuxedo Brass Band,1975-04-26,Stage 6,3:00 PM,
Tuts Washington,1975-04-26,Stage 6,4:00 PM,
Storyville Band,1975-04-26,Stage 6,5:00 PM,
God's Chosen Few,1975-04-27,Gospel,1:30 PM,
Mt. Moriah No. 2 Choir,1975-04-27,Gospel,2:00 PM,
Roosevelt Sykes,1975-04-27,Stage 3,2:30 PM,
Clifton Chenier,1975-04-27,Stage 3,3:30 PM,
Carlos Sanchez,1975-04-27,Stage 5,3:00 PM,
Ironing Board Sam,1975-04-27,Stage 6,2:30 PM,
USL Jazz Ensemble,1975-04-25,Stage 3,12:00 PM,
The Copas Brothers,1975-04-25,Stage 4,3:00 PM,
SUBR Jazz Ensemble,1975-04-25,Stage 5,3:00 PM,
The Friendly Five,1975-04-26,Gospel,12:00 PM,
The Society Jazz Band,1975-04-26,Stage 3,3:30 PM,
The Jazztronauts,1975-04-26,Stage 3,5:30 PM,
The Meyers Brothers,1975-04-26,Stage 4,4:00 PM,
The Masonic Kings,1975-04-27,Gospel,12:30 PM,
The Wild Magnolias,1975-04-27,Stage 1,5:00 PM,
SUNO Jazz Ensemble,1975-04-27,Stage 2,12:30 PM,
The Louisiana Aces,1975-04-27,Stage 4,2:30 PM,
Olympia Brass Band,1975-04-27,Stage 4,3:30 PM,
The Meyers Brothers,1975-04-27,Stage 6,5:30 PM,
The Mighty Chariots,1975-04-25,Gospel,1:00 PM,
Daneel No. 2 Youth Choir,1975-04-25,Gospel,2:00 PM,
Como Fife and Drum Corps,1975-04-25,Stage 4,4:00 PM,
Robert Pete Williams,1975-04-25,Stage 6,5:30 PM,
Prayer Tower Choir,1975-04-26,Gospel,12:30 PM,
Robert Pete Williams,1975-04-26,Stage 3,5:00 PM,
Como Fife and Drum Corps,1975-04-26,Stage 6,2:00 PM,
Robert Pete Williams,1975-04-27,Stage 2,5:00 PM,
Professor Longhair,1975-04-27,Stage 3,5:30 PM,
Como Fife and Drum Corps,1975-04-27,Stage 6,1:30 PM,
Allen Toussaint,1975-04-24,S.S. Admiral,8:00 PM,
The Humble Travelers,1975-04-25,Gospel,12:30 PM,
The Spiritualettes,1975-04-25,Gospel,3:00 PM,
Greater St. Andrew Choir,1975-04-25,Gospel,5:00 PM,
Freddie Hubbard,1975-04-25,S.S. Admiral,8:00 PM,
Brother Percy Randolph,1975-04-25,Stage 5,1:00 PM,
The New Dukes of Dixieland,1975-04-25,Stage 5,4:00 PM,
St. Matthew Chapel Choir,1975-04-26,Gospel,1:30 PM,
The Zion Harmonizers,1975-04-26,Gospel,3:00 PM,
Sister Bessie Griffin,1975-04-26,Gospel,4:30 PM,
Ellis Marsalis and ELM '75,1975-04-26,Stage 2,5:00 PM,
Brother Percy Randolph,1975-04-26,Stage 6,1:00 PM,
The Zion Harmonizers,1975-04-27,Gospel,2:30 PM,
Sister Bessie Griffin,1975-04-27,Gospel,4:30 PM,
The Friendly Travelers,1975-04-25,Gospel,1:30 PM,
The Gospel Inspirations,1975-04-25,Gospel,2:30 PM,
Sister Elizabeth Eustis,1975-04-25,Gospel,3:30 PM,
The New Orleans Ragpickers,1975-04-25,Stage 2,3:00 PM,
The Gospel Soul Children,1975-04-26,Gospel,4:00 PM,
The Gospel Choralettes,1975-04-26,Gospel,5:00 PM,
St. Francis DeSales Choir,1975-04-27,Gospel,4:00 PM,
McDonogh #35 School Choir,1975-04-27,Gospel,5:00 PM,
Sammy Berfect Ensemble,1975-04-27,Gospel,5:30 PM,
The Southern Gospel Singers,1975-04-25,Gospel,4:30 PM,
The New Porgy Jones Experience,1975-04-25,Stage 3,4:00 PM,
The Stronger Hope Ensemble,1975-04-26,Gospel,2:30 PM,
Brother Wallace Davenport,1975-04-26,Gospel,3:30 PM,
Loyola University Jazz Band,1975-04-26,Stage 3,1:00 PM,
Xavier University Jazz Band,1975-04-26,Stage 3,1:30 PM,
The Macedonia Male Chorus,1975-04-27,Gospel,12:00 PM,
The Crescent City Joymakers,1975-04-27,Stage 2,2:00 PM,
Danny Barker's Jazz Hounds,1975-04-23,S.S. Admiral,8:00 PM,
Chris Burke and New Orleans Music,1975-04-25,Stage 6,1:00 PM,
Greater St. Stephen Youth Choir,1975-04-26,Gospel,1:00 PM,
The Youth Inspirational Choir,1975-04-26,Gospel,5:30 PM,
Rockin' Dopsie and the Twisters,1975-04-27,Stage 6,4:30 PM,
Earl Turbinton and The Nucleus,1975-04-25,S.S. Admiral,8:00 PM,
Fifth African Youth Choir of St. Rose,1975-04-26,Gospel,2:00 PM,
The Traditional Jazz Band of Sao Paulo,1975-04-26,Stage 5,1:00 PM,
The First Church of God in Christ Choir,1975-04-27,Gospel,3:00 PM,
The New Orleans Ragtime Orchestra,1975-04-27,Stage 3,4:30 PM,
The Black Eagle Mardi Gras Indian Tribe,1975-04-25,Stage 2,4:00 PM,
St. Marks Community Center Dance Troop,1975-04-25,Stage 4,2:00 PM,
Allen Fontenot and The Country Cajuns,1975-04-26,Stage 5,5:00 PM,
Percy Randolph and Little Freddy King,1975-04-27,Stage 3,1:30 PM,
Soren Houlind Copenhagen Ragtime Band,1975-04-25,Stage 6,2:00 PM,
The Yellow Jackets Mardi Gras Indian Tribe,1975-04-26,Stage 4,3:00 PM,
Dr. Bill C. Malone and The Hill Country Ramblers,1975-04-27,Stage 4,1:00 PM,
The Gentlemen of Jazz with Germaine Bazzle,1975-04-27,Stage 5,5:00 PM,
Santo Pecora and his Tailgate Ramblers,1975-04-23,S.S. Admiral,8:00 PM,
The McDermit Singers and Christine Miles,1975-04-25,Gospel,4:00 PM,
Raymond Burke and The Storyville Ramblers,1975-04-25,Stage 3,5:00 PM,
Louis Cottrell and The Heritage Hall Band,1975-04-23,S.S. Admiral,8:00 PM,
Professor Hogan's Gospel Calvacade of Stars,1975-04-27,Gospel,3:30 PM,
Russ Russell andThe Stingrays with Patty Dupree,1975-04-27,Stage 5,2:00 PM,
Kid Thomas and the Preservation Hall Jazz Band,1975-04-23,S.S. Admiral,8:00 PM,
Papa Albert French and the Original Tuxedo Jazz Band,1975-04-27,Stage 5,4:00 PM,
