Name,Date,Venue,Time,Notes
Legacy ,1990-04-28,Kids' Tent,2:30 PM,
Blue Monday,1990-04-27,Parade,4:00 PM,
File ,1990-04-28,Fais Do-Do Stage,5:45 PM,
DJ Jup,1990-05-05,Fais Do-Do Stage,1:20 PM,
ER.C.,1990-05-05,Fais Do-Do Stage,1:20 PM,
Tany P,1990-05-05,Fais Do-Do Stage,1:20 PM,
Buck Fever ,1990-05-06,Kids' Tent,1:30 PM,
Stone Soup ,1990-05-05,Kids' Tent,5:00 PM,
Judy Stock ,1990-04-28,Kids' Tent,3:30 PM,
B.B. King,1990-04-27,The River Tent,7:00 PM,
Al Rapone,1990-04-28,WDSU TV 6 Stage,3:10 PM,
Lavie Lee,1990-04-29,WDSU TV 6 Stage,2:45 PM,
Men Bucks SAPC,1990-05-06,Parade,4:30 PM,
Dr. John,1990-05-06,WWL/Ray-Ban Stage,3:00 PM,
Starmakers ,1990-05-05,Kids' Tent,4:30 PM,
Ephat Mujuru ,1990-05-05,Kids' Tent,1:00 PM,
Jazz Babies ,1990-05-04,Kids' Tent,1:30 PM,
Brooks Read ,1990-04-28,Kids' Tent,1:00 PM,
Eddie Bo,1990-04-27,WWL/Ray-Ban Stage,3:45 PM,
Original Four,1990-04-28,Parade,2:00 PM,
Jean Knight,1990-04-28,WDSU TV 6 Stage,4:50 PM,
B.B. King,1990-04-28,WWL/Ray-Ban Stage,5:45 PM,
Cajun Brew,1990-04-29,Fais Do-Do Stage,2:00 PM,
Ladies Zulu SAPC,1990-04-29,Parade,2:00 PM,
Treme Brass Band,1990-04-29,Parade,4:30 PM,
Nappy Brown,1990-04-29,WDSU TV 6 Stage,2:45 PM,
The Shadows,1990-04-29,WDSU TV 6 Stage,2:45 PM,
Phil Meeks,1990-04-29,WDSU TV 6 Stage,4:25 PM,
Celia Cruz,1990-05-03,The River Tent,8:00 PM,
Controllers ,1990-05-04,Parade,4:15 PM,
The O'Jays,1990-05-04,The River Tent,7:00 PM,
Tabula Rasa,1990-05-04,WDSU TV 6 Stage,3:00 PM,
Jolly Bunch SAPC,1990-05-05,Parade,4:30 PM,
Royal Brass Band,1990-05-05,Parade,4:30 PM,
Mojo Nya,1990-05-06,Fais Do-Do Stage,12:00 PM,
Fun Lovers SAPC,1990-05-06,Parade,2:00 PM,
Lady Bucks SAPC,1990-05-06,Parade,4:30 PM,
Kenny Neal,1990-05-06,WDSU TV 6 Stage,3:10 PM,
Gary Brown  ,1990-05-06,WDSU TV 6 Stage,4:35 PM,
Earl King,1990-05-06,WVUE/WNOE Stage,1:10 PM,
Jamal Batiste ,1990-05-06,Kids' Tent,3:00 PM,
"Percussion, Inc",1990-05-04,Kids' Tent,5:00 PM,
Washboard Leo ,1990-04-28,Kids' Tent,5:00 PM,
Nattie the Clown ,1990-04-27,Kids' Tent,2:00 PM,
John Hammond,1990-04-27,The River Tent,7:00 PM,
The subdudes,1990-04-27,WDSU TV 6 Stage,4:20 PM,
Force of Habit,1990-04-28,Fais Do-Do Stage,1:15 PM,
Sean Holt,1990-04-28,Mars Inc. Jazz Tent,12:25 PM,
