"Mango Groove &amp; The Sarafina Kids ";1992;label;Claire Johnston (lead voc),Nozipho Nguse (dancer),Busisiwe Gumede (dancer),Lerato Wildeman (dancer),Claudia Dlathu (dancer),Abigale Sithole (dancer),Mduduzi Magwanza (s),Kelly Petlane (s),Banza Kgasoane (tp),Peter Cohen (dr),John Leyden (b),Alan Lazar (kbds),George Lewis (g),Beaulah Hasha (voc),Phunzile Ntuli (voc),Marilyn Nokwe (voc),Mercz Mhlongo (da
Marcus Roberts and Ellis Marsalis ;1992;label;Marcus Robert (p),Ellis Marsalis (p
Mario Bauza's Afro Cuban Orchestra ;1992;label;"Mario Bauza (lead,Quincy Jones (),Ross Konikoff (tr),Rudy Calzado (voc),Adela Dalto (voc),Tatyana Calzado (voc),Raymond Vega (tr),Victor Paz (tr),Manuel Duran (tr),Debbie White (as),Enrique Fernandez (s),Eddie Alex (s),Pablo Calogero (s),Dioris Rivera (s),Joe Gonzales (bgs,Carlos ""patato"" Valdez-Galan (cga,Bobby Sanabria (dr),Jose Santiago (b),Marcus Persiani (p),Gerry Chamberlain (tr),Noah Bless (tr),Simone ()        "
Mark O'Connor ;1992;label;Mark O'Connor (so
Mark O'Connor ;Lauderdale;label;Claude Nobs (hca),Jim Lauderdale (g,Mark O'Connor (vln),Buddy Miller (g) 
Max Neissendorfer Trio ;1992;label;Earl Thomas (voc),Michel Poffet (b),David Elias (dr),Max Neissendorfer (p),Kirsten Gustafson
Montreux Big Band ;1992;label;Patrick Perrier (b),Willy Zumbrunnen (conductor),Christophe Liechti (ts),Gerald Guerite (bs),Mario Rossi (ts),Marc Sturzenegger (as),Jose Briceno (as,Fridolin Hefti (as),Alexandre Leuba (tb),Henri-Robert Ruchet (tb),Patrick Felchlin (tb),Pascal Michel (tb),Michel Hubert (tb,Daniel Vuaclens (tp),Alain Balmat (tp),Herve Thanin (tp),Philippe Hamel (tp),Richard Delavy (g),Patrick Delavy (g),Didier Velan (dr),Karl Peterhans (p
Newport Allstars With Alain Brunet ;Scott;label;George Wein (p),Stephane Grappelli (vln),Alain Brunet (tp),Oliver Jackson (dr),Ed Jones (b),Howard Alden (g),Warren Vache (cornet),Clark Terry (flh),Al Grey (tb),Jessie Davis (s),Scott Hamilton (s),Little Jimmy Scot
Francois Lindemann ;Movement;label;Marc Erbetta (dr),Hans Kennel (buchel,Glenn Ferris (s),Francois Lindemann (p),Robert Morgenthaler (tb),Matthieu Michel (tp,Maurice Magnoni (ts,Yvan Ischer (as),Olivier Rogg (kbds),Ivor Malherbe (b),Carlos Baumann (buchel,Bil Holden (buchel,Marcel Huonder (buchel,Junteressli (perc),Mahotella Queens (voc),Grieni Hind (perc
Nicolas Hafner Swisstet ;1992;label;Serge Zaugg (s),Carlos Baumann (tp),Nicolas Hafner (p),Robert Roethlisberger (b),Jean-Luc Lavanchy
"Olivier Rogg &amp; Lee Maddeford ";1992;label;Olivier Rogg (p),Lee Maddeford (p)
Pat Orchard ;1992;label;Pat Orchard (g,voc)             
Paulo Moura and His Group ;1992;label;Paulo Moura (alto sax),Herbie Kopf (b),Laurinho Bandeira (perc,Pierre-Luc Vallet (p,Letierer Loite (sax,Christoph Schweizer (tb),Endrigo Bettega (
