DIRTY DOZEN BRASS BAND ;1;label;Gregory Davis (tr,snare dr),Kevin Harris (ts),Charles Joseph (tb),Kirk Joseph (tuba),Roger Lewis (bs,Efrem Towns (tr),Jennel Marshall (snare dr,Lionel Batiste (d
Duke Roubillard And The Pleasure Kings ;1985;label;Duke Robillard (l voc,Thomas Enright (voc,Thomas Dequattro 
Farafina ;1985;label;Soungalo Coulibary (fl,Dean De Bilba (),Baba Diarra (),Tiawara Keita (perc),Mahama Konate (voc,Baba Ouattara (),Beh Palm (perc,Paco Adama Ye (perc,danse)           
Joao Gilberto ;1985;label;Joao Gilberto (g,voc)             
GOMES ;PEPEU;label;Jorge Gomes (dr),Pepeu Gomes (voc,Didi Gomes (b),Baixinho (perc),Charles Negrita (perc),Paulo Casarin (kbds),Luciano Alves (kbds),Joaoxinho (perc) 
Horace Silver Quintet ;1985;label;Horace Silver (p),Carl Burnett (dr),Brian Lynch (tp),Ralph Moore (ts),Luther Hughes (b)
Hugh Masekela ;1985;label;Hugh Masekela (s,Francis Fuster (perc),Sonti Mndebele (voc),Bheki Msekelu (kbds),Aubrei Oaki (b),John Selowane (voc,Mopati Tsienyane (dr),Michael Brecker (
Keith Jarrett ;DeJohnette;label;Keith Jarrett (piano),Gary Peacock (bass),Jack DeJohnette (
Jack DeJohnette ;1985;label;Jack DeJohnette (dr,Howard Johnson (tuba),Greg Osby (sax),John Purcell (fl,Rufus Reid (b)   
Jazz Band California State University ;1985;label;California State 
Johnny Otis Show ;1985;label;Johnny Otis (voc,Barbara Morrison (voc),Delmar Evans (voc),Bullmoose Jackson (voc),Donny Walker (voc),James Clark (g),Fred Clark (ts),Michael Turre (bs),Preston Love (as),Streamline Ewing (tb),Clora Bryant (voc,Bob Frazier (tp),Pony Abrams (b),Nivky Otis (dr)  
Jose Barrense-Dias ;1985;label;Jose Barrense-Dias (g,voc)             
Juan Martin ;1985;label;Juan Martin (g)  
Kid Creole And The Coconuts ;1985;label;Kid Creole (voc,Coati Mundi (voc,Adriana Kaegi (voc),Cheryl Poirier (voc),Janique Svedeberg (voc),Jimmi Rippetoe (g),Peter S. Schott (kbds),Charles J. Lagond Ii (s),Ken Fradley (tp),Lee J. Robertson (tb),Carol Colman (b),Eddie Magic (perc),David Span (dr)  
LODUCA ;GROUP;label;Joseph Loduca (g),Lawrence Fratangello (perc),Kenneth Kellett (b),Gary Shunk (p,Thomas Starr (dr)
Lee Ritenour ;1985;label;Lee Ritenour (g),Dave Grusin (kbds),Jimmy Johnson (b),Larry Williams (kbds),Carlos Vega (dr) 
Leonard Cohen ;1985;label;Leonard Cohen (voc),Ron Getman (voc,pedal steel),Anjani Thomas (voc,Mitch Watkins (voc,John Crowder (voc,Richard Crooks (d
Manu Dibango and Soul Makossa Gang ;1985;label;Manu Dibango (voc,Catherine Elo-Longue (voc),Florence Titti (voc),Gerry Malekany (g),Vincent Nguini (g),Stephan Joly (kbds),Francis Mbappe (b),Brice Wouassi (dr),Abdou M'boup (per
Mark Isham ;1985;label;Mark Isham (kbds,Bill Douglas (b,Michele Graybeal 
Miles Davis (evening) ;1985;label;Miles Davis (tpt,Bob Berg (ss,John Scofield (g),Robert Irving III (synth),Darryl Jones (el-b),Vincent Wilburn Jr. (d),Steve Thornton (p
Mocidade Independente De Padre Miguel ;School;label;Samba School Moci
Nina Corti - Flamenco Inspiration ;1985;label;Nina Corti (dance),Ramon El Portugues (voc),Jose Merce (voc),Guadiana (voc),Jose Maria Molero (g),Louis Pastor (g),Jesus Baracelli (g),Daniel Corti (viola),Jack Bednarek (b),Willy Kotoun (per
Nina Hagen ;1985;label;Nina Hagen (voc),Billy Liesegang (g),Roger Craig (kbds),Karl Rucker (b),Hans Peter Krause
Paris Reunion Band ;1985;label;Slide Hampton (tb),Nathan Davis (s,Woody Shaw (tp),Jimmy Woode (b),Billy Brooks (dr),Johnny Griffin (ts),Kenny Drew (p),Dizzy Reece (tp) 
Randy Weston African Rhythm Orchestra ;1985;label;Benny Bailey (tp),Randy Weston (p),Sahib Shihab (ss,Benny Powell (tb),George Lewis (tb),T.K. Blue (as,Sam Kelly (perc),Wilbur Little (b),Clyde Lucas (dr),Hale Smith (cond)
Rory Gallagher And His Band ;1985;label;Rory Gallagher (voc,Gerry McAvoy (b),Brendan O'Neill (dr),Mark Feltham (har
Ruben Blades y Seis Del Solar ;1985;label;Ruben Blades (voc),Michael Vinas (b),Oscar Hernandez (p,Ricardo Marrero (vb,Robert Ameen (trap dr),Edwin Montalvo (congas),Ralph Irrizary (p
Schiltknecht and Domeniconi ;1985;label;Roberto Domeniconi (p),Ljubo Majstorovic (g),Gabriel Schiltknecht (dr,marimba)         
Sera ;1985;label;Yuzuru Sera (p),Norihide Nakajima (b),Jimmy Takeuchi (d
Shadowfax ;1985;label;Chuck Greenberg (lyricon,Stuart Nevitt (dr,G. E. Stinson (g),Phil Maggini (b),Charles Bisharat (vln),David Lewis (p,moog)            
Shankar ;1985;label;Trilok Gurtu (perc),Jan Garbarek (sax),Nana Vasconcelos (perc),L. Shankar (doubl
Shorty Rogers And His West Coast Giants ;1985;label;Bud Shank (s),Shorty Rogers (flh),Bob Cooper (s),Bill Perkins (s),Pete Jolly (p),Monty Budwig (b),Larry Bunker (dr),June Christie (vo
