Marco Zappa ;1981;label;Marco Zappa,Silvano Calignano,Giancarlo Piemontesi,Giogio Cereghetti,Rangit Shorter,Antonio Cassina,Oliviero Giovanni
McCoy Tyner ;1981;label;McCoy Tyner,Paquito D'Rivera,John Blake,Joe Ford,Avery Sharpe,Chico Freeman,Ronnie Burrage,Arthur Blythe
Irakere ;1978;label;"Chucho Valdes,Arturo Sandoval tb flh,,Paquito D'Rivera,Carlos Averhoff,Jorge Varuna flh,,Carlos Emilio Morales,Carlos Del Puerto,Armando Cuervo perc,,Oscar Valdes,Enrique Pla,Jorge ""El Nino"" Alfonson"
Midnight Flyer ;1981;label;Maggie Bell,Chris Parren,Ant Glynne,Tony Stevens,Dave Dowle,Teo Kanda Freeman
Mighty Clouds Of Joy ;1981;label;Joe Ligon,Johnny Martin,Richard Wallace,Hampton Carlton,Paul Beasley,Spanky Alford,Elmo Franklin,Dwight Gordon
Mike Mainieri ;1981;label;Marcus Miller,Mike Mainieri,Michael Brecker,Lenny Castro,Warren Bernhardt,Ricky Lawson
Mike Oldfield (afternoon) ;1981;label;Mike Oldfield,Maggie Riley,Tim Cross,Rick Fenn,Mike Frye,Morris Pert
Monty Alexander And Friends ;1981;label;Monty Alexander,Ernest Ranglin,Gerry Wiggins,Othello Molineaux,Jojo Mayer,David Sanborn,Maurice Einhorn
Moraes Moreira ;1981;label;Moraes Moreira,Baixinho,Elba Ramalho,Serginho,Leo Gandelman,Paulo Sauer,Tony Costa,Guilherme Maia,Nacho Mena
Neil Larsen Band ;1981;label;Marcus Miller,Neil Larsen,Robben Ford,Lenny Castro,Art Rodriguez
Nina Simone ;1981;label;Nina Simone
Mike Oldfield (evening) ;1981;label;Mike Oldfield,Maggie Riley,Tim Cross,Rick Fenn,Mike Frye,Morris Pert
Oscar Peterson ;1981;label;Oscar Peterson,Niels Pedersen,Terry Clarke
Overseas ;1981;label;Doug Martin,Gerald Suter,Chris Panayi,Andy Tolbert
Pearl Harbour ;1981;label;Pearl Harbour,Wilko Johnson,Johnny Turnbull,Paul Simonon,Nick Simonon,Steve Goulding
Philip Catherine and Larry Coryell ;1981;label;Philip Catherine,Larry Coryell,Charlie Mariano,Nicolas Fiszman
Philip Catherine ;1979;label;Philip Catherine,John Lee,Jerry Brown,Nicolas Fiszman,Djalma Corea
Philippe Cauvin ;1981;label;Philippe Cauvin
Randy Crawford And The Yellowjackets ;1981;label;Randy Crawford,Russell Ferrante,Robben Ford,Jimmy Haslip,Ricky Lawson
Raphael And Louis Fays ;1981;label;Raphael Fays,Louis Fays
Ray Barretto ;1981;label;Ray Barretto,Oscar Hernandez,Raymond Hernandez,Edwin Marrero,Qngel Fernandez,Felix Vega,Charles Hernandez,Joe De Jesus,Edward Resto,Luis Gonzales,Ralph Irizarry
The Spliff Radio Show ;1981;label;Reinhold Heil,Billy Gwartney,Alf Klimax,Jose Van Iersel,Bernhard Potschka,Manfred Praeker,Herwig Mitteregger
Staple Singers ;1981;label;Mavis Staples,Pops Staples,Yvonne Staples,Cleotha Staples,Michael Logan,Thurman Morgan,Willie Simmons,Larry Kimpel,Dana Goodman
Stray Cats ;1981;label;Brian Setzer voc,,Lee Rocker,Slim Jim Phantom,Pearl Harbour
Swiss Radio Big Bang ;1981;label;Franco Ambrosetti,Jean-Pierre Beltrami,Stuff Combe orch.,Luc Hoffmann ss, fl,,Francy Boland,Roby Seidel,Raymond Droz,Willy Bischof,Raoul Schmassman,Eric Brooke,Eddie Caruso,Emilio Soana,Jean-Francois Bovard,Giancarlo Romani,Sergio Valenti,Hans Peters,Michel Surget,Tony D'adario,Thomas Moeckel,Max Hediger,Rolando Ceragioli,Bunk Green,Bruno Spoeri
TOMMY FLANAGAN AND MONTY ALEXANDER DUO ;1981;label;Monty Alexander,Tommy Flanagan
"Toots &amp; The Maytals ";1981;label;Toots Hibbert,Ralphus Gordon,Nathaniel Nathias,Harold Butler,Winston Wright,Linford Brown,Carl Havey,Clifton Jackson,Earl Douglas
Toots and The Maytals ;1996;label;"Toots Hibbert,Bernie Pitters,Radcliffe ""Dougie"" Bryan,Lawrence Silrera Larry,Andy Bossford,Winston Grenman"
Taj Mahal ;1981;label;Taj Mahal,Kester Smith,Tyrone Jones,Teo Kanda Freeman
The Blues Band ;1981;label;Dave Kelly g,,Christopher Paul Jones,Gary Fletcher,Tom McGuiness,Hughie Flint
The Heath Brothers ;1981;label;Jimmy Heath,Slide Hampton,Stanley Cowell,Percy Heath,Tony Purrone,Akira Tana
Sonny Rollins ;1974;label;Sonny Rollins,David Lee,Yoshiaki Masuo,Bob Cranshaw,Rufus Harley,Stanley Cowell,Mtume
The Yellowjackets ;1981;label;Robben Ford,Ricky Lawson,Russell Ferrante,Jimmy Haslip
Tommy Flanagan ;1981;label;Tommy Flanagan
Toquinho ;1981;label;Djalma Correa,Toquinho,Roberto Sion,Azeitona,Mutinho,Papete
Tribute To Louis Jordan ;1981;label;"David Sanborn,Oliver Jackson,Eddie ""Cleanhead"" Vinson,Major Holley,Doc Cheatham,Eddie Chamblee,Norman Simmons,Billy Butler,Buster Brown"
AN EVENING WITH OSCAR PETERSON ;1996;label;Oscar Peterson,Niels Pedersen,Martin Drew,Lorne Lofsky,Unknown
A Gathering Of Minds ;1982;label;David Sancious,Billy Cobham,Didier Lockwood,Jack Bruce +,Alan Holdsworth
Mose Allison ;1982;label;Lou Donaldson,Billy Cobham,Mose Allison,Jack Bruce,Eric Gale
