Speedy J ;;label;Jochem George Paap
;;;
Ronnie Foster Trio ;1973;label;Ronnie Foster,Marvin Chappell,Greg Millar
;;;
Roxy Music ;2010;label;Bryan Ferry,Phil Manzanera,Andy MacKay,Paul Thompson,Anna McElligott,Colin Good,Jeremy Meehan,Oliver Thompson,Sewuese Abwa,Aleysha Gordon,Lucita Jules,Hannah Khemoh
;;;
Sadao Watanabe Quartet ;1973;label;Sadao Watanabe,Takehiro Honda,Yoshio Busuki,Fumio Watanabe,Bunky Green,Louis Smith
;;;
Sam Rivers Trio ;1973;label;Cecil McBee,Sam Rivers ss, fl,,Norman Connors
;;;
Sonny Terry and Brownie McGhee ;1973;label;Brownie McGhee,Sonny Terry
;;;
Stephane Grappelli Quartet ;1973;label;Daniel Humair,Stephane Grappelli,Marc Hemmeler,Jacques Sewing
;;;
Teddy Wilson ;1973;label;Teddy Wilson,Kenny Baldock,Johnny Richardson,Dave Shepherd
;;;
The Jumping Seven ;1973;label;Claude Joly,Pierre Bertoli,Jean-Daniel Staehli,Aldo Zanesco,Jean-Paul Piffaretti,Rene Schmid,Michel Guillemin,Denis Progin
