Rory Gallagher And His Band ;1979;label;Rory Gallagher,Gerry McAvoy,Ted McKenna
;;;
Grover Washington Jr. ;1979;label;"Grover Washington,Al ""buster"" Anderson,James Batton,George Howard,Robert Lee Strother Jr.,Raymond G. Walsh Jr.,Ismael Lee Wilburn,Al Jarreau"
;;;
HOWE ;;label;Steve Howe
;;;
Hank Jones and John Lewis ;1979;label;John Lewis,Hank Jones
;;;
Irrwisch ;1979;label;Stefan Buergi,Christian Buergi,Peter Krattiger,Dieter Luescher,Wolfgang Hafner,Josef Kissling,Erich Riesen
;;;
Jana Jae - Afternoon ;1979;label;Jana Jae,Rodney Lay,Mary Stallard Hobbs,Marjorie Gale Elzey,Vernon Sandusky,Troy Lee Klantz,John Paul French,Terrell Lynn Glaze
;;;
Jay McShann ;1979;label;Jay McShann,John Lewis
;;;
Jazz Community ;1979;label;Hans Kennel,Paul Haag,Alex Bally,Heiner Altrhaus,Armin Keil,Walter Schmocker,Christian Beck
;;;
Larry Carlton ;1979;label;Larry Carlton,Pops Popwell,John Ferraro,David Benoit
;;;
Weather Report ;1976;label;Joe Zawinul,Wayne Shorter,Jaco Pastorius,Alex Acuna,Manola Badrena
;;;
Lee Ritenour And Friendship ;1979;label;Lee Ritenour,Ernie Watts,Alex Acuna,Don Grusin,Abraham Laboriel,Steve Forman
;;;
Little Milton and The Icebreakers ;1979;label;Little Milton,A. C. Reed,Larry Burton,Aron Burton,Casey Jones,Albert Collins
;;;
B.B. King ;1979;label;"B.B. King,Calep Emphrey, Jr.,Russell Jackson,Leonard Gill,Phil Blackman,Edgar Synigal,Hilton Josephs,Steve Sherard,Lonny LaLanne,Willie Cook,Calvin Owens bd,Clarence ""Gatemouth"" Brown,Little Milton,Roy Clark,Taj Mahal,Albert Collins,Lonnie Brooks"
;;;
Lonnie Brooks Guitar Junior and The Icebreakers ;1979;label;A. C. Reed,Larry Burton,Casey Jones,Lonnie Brooks,Aron Buron
;;;
MINGUS DYNASTY ;1979;label;Randy Brecker,Mike Richmond,Don Pullen,Dannie Richmond,George Adams,John Handy,Jimmie Knepper
;;;
Macpherson Trio ;1979;label;Oliver Gannon,Fraser MacPherson,Wyatt Rugher
;;;
Martial Solal And Joachim Kuehn ;1979;label;Joachim Kuhn,Martial Solal
;;;
Mwendo Dawa ;1979;label;Ove Johannson,Anders Jormin,Ulf Wakenius,Susanna Lindeborg,David Sundby
;;;
NEWBORN ;;label;Jay McShann,John Lewis,Hank Jones,Phineas Newborn
;;;
PASCOAL ;;label;"Hermeto Pascoal s, kbds,,Claudio Aranjo Chamie De Queiroz bs,Antonio Luiz De Santana,Jovino Jose Dos Santos Neto,Realcino ""Nene"" Lima Filho,Rosemarie Pitner,Itibere Luiz Zwarg,Nivaldo Ornellas"
;;;
"Oscar Peterson &amp; Niels Pedersen ";1979;label;Oscar Peterson,Niels Pedersen
;;;
Peter Tosh and Band ;1979;label;Sly Dunbar,Robbie Shakespeare,Peter Tosh voc,,Milkey Mao Chung,Robert Lyn,Keith Sterling,Darrell Thompson,The Tamlins
;;;
Philip Catherine ;1979;label;Philip Catherine,John Lee,Jerry Brown,Nicolas Fiszman,Djalma Corea
;;;
Elis Regina ;1979;label;Elis Regina,Cesar Camargo Mariano,Luiz Maia,,Helio Delmiro,Paulinho Braga,Chico Batera
;;;
Robert Paquette Group ;1979;label;Robert Paquette,Sylvain Coutu,Yolan Houle,Alan Walsh fl,,Monique Paiement
;;;
"Roy Clark Show &amp; Rodney Lay Band- Afternoon ";1979;label;Buck Trent,Jana Jae,Rodney Lay,Mary Stallard Hobbs,Marjorie Gale Elzey,Vernon Sandusky,Troy Lee Klantz,John Paul French,Roy Clark bjo, fiddle,,Terrell Lynn Glaze,Jimmy Henley,James Henley
;;;
SPYRO GYRA ;1979;label;Jay Beckenstein,Tom Schuman,Chet Catallo,Eli Konikoff,Jim Kurzdorfer,Gerardo Velez
;;;
Gabor Szabo and Joe Beck ;1979;label;Mike Richmond,Dannie Richmond,Joe Beck,Gabor Szabo
;;;
Steel Pulse ;1979;label;David Hinds,Selwyn Brown,Basil Gabbidom g,,Fonso Martin,Ronnie McQueen,Steve Nesbitt
;;;
Taj Mahal and His Band ;1979;label;Taj Mahal p,,Bill Rich,Robert Greenidge,Rudy Costa ss, fl,,Kestev Smith,Jimmy Santos timb,
;;;
The Oak Ridge Boys and Oak Ridge Band - Afternoon ;1979;label;Sam Garland,Skip Mitchell,Mark Ellerbee,Don Breland,Duane Allen,Bill Golden,Richard Sterban,Joe Bonsall
;;;
Tsuyoshi Yamamoto Trio ;1979;label;Tsuyoshi Yamamoto,Kunimitsu Inaba,Tetsujiro Obara
