Os Paralamas do Successo ;1993;label;Herbert Vianna,Bi Ribeiro,Joao Fera,Joao Barone,Dimetrio Bezerra,Monteiro Joseph,Eduardo Lyra
;;;
Paolo Conte ;1993;label;James Thompson,Jino Touche,Daniele Di Gregorio,Daniele Dall'omo,Davide Di Gregorio,Massimo Pitzianti acc,,Leonardo Martina,Luca Velotti,Eleonora Nervi,Luciano Girardengo
;;;
Rachelle Ferrell and Group ;1993;label;George Duke,Rachelle Ferrell,Jeff Johnson,Tracy Wormworth,Dough Nally
;;;
Ramsey Lewis ;1993;label;Ramsey Lewis,Henry Johnson,Steve Cobb,Mike Logan,Charles Webb
;;;
Ray Brown Trio with James Morrison ;1993;label;Jeff Hamilton,Ray Brown,James Morrison,Benny Green
;;;
Raymond Court Sextet ;1993;label;Vincent Lachat,Raymond Court,Philippe Staehli,Michel Weber,Silvano Bazan,Antoine Ogay
;;;
Richard Galliano Trio ;1993;label;Richard Galliano,Pierre Michelot,Charles Bellonzi
;;;
Rick Pruett and Mark Davis ;1993;label;Rick Pruett,Mark Davis
;;;
Robben Ford and The Blue Line ;1993;label;Roscoe Beck,Robben Ford,Tom Brechtlein
;;;
Robert Plant ;1993;label;Robert Plant,Francis Dunnery,Kevin McMichael,Michael Lee,Charlie Jones,Phil Johnstone
;;;
Robin Kenyatta ;1993;label;Joe Sample,Nathan East,Dwayne Smith,Robin Kenyatta
;;;
Roy Rogers and The Delta Rhythm Kings ;1993;label;Steve Evans,Roy Rogers,Mike Hyman
;;;
Salif Keita ;1993;label;Salif Keita,Mokhtar Samba,Soulaeymane Doumbia,Moussa Diakite,Jean-Pascal Ndoumbe Djengue,Djene Doubouya,Assitan Dembele,Eddy Emilien,Jean-Pierre Alcouffe,Francis Etonde Bebey
;;;
Seigen Ono ;1993;label;Seigen Ono,Mane Silveira,Paul Shapiro,Yohichi Murata,Amadeo Pace,Maxine Neuman,Toninho Ferragucci,Peter Scherer,Joao Parahyba,Boby Previte
;;;
Sens Unik ;1993;label;Carlos Dengler,Just One,Rade beat,Laurent B,Sista D,Osez back
;;;
Seychelles Sounds and Dances ;1993;label;"Jenny Letourdie,Joe Samy,Jean Ally,Stella Nibourette,Emmanuel Marie,The ""bwa Bande"" Band"
;;;
Seychelles Show ;1993;label;"Jenny Letourdie,Joe Samy,Jean Ally,Stella Nibourette,Emmanuel Marie,The ""bwa Bande""band"
;;;
Steve Grossman Quartet ;1993;label;Jacky Terrasson,Steve Grossman,Dion Parson,Dwayne Burno
;;;
Stephane Grappelli Trio and Didier Lockwood ;1993;label;Didier Lockwood,Stephane Grappelli,Marc Fosset,Jean-Philippe Viret
;;;
T.S. Monk Jr ;1993;label;Willie Williams,Don Sickler,T. S. Monk,Bobby Porcelli,Ron Mathews,Scott Colley
;;;
