Regina Spektor ;2010;label;Regina Spektor (piano,Kaoru Ishibashi (violin,David Heilman (dr
Larry Coryell ;1971;label;Larry Coryell () 
Roy Ayers Ubiquity ;1971;label;Roy Ayers (vb),Harry Whitaker (el-p),Clint Houston (b),Al Mouzon (dr)   
Dizzy Gillespie (Pablo Night 1 ;group);label;"Dizzy Gillespie (trumpet),Johnny Griffin (saxophone tenor),Tommy Flanagan (piano),Mickey Roker (drums),Eddie ""Lockjaw"" Davis (saxophone tenor),Milt Jackson (vibraphone),Niels Pedersen (b"
Emerson ;Palmer;label;Keith Emerson (kbds.),Greg Lake (b,Carl Palmer (dr.)
Dhafer Youssef ;2018;label;Dhafer Youssef (Oud,Isfar Sarabski (Piano),Joe Sanders (Bass),Ferenc Nemeth (Dr
Alina Engibaryan ;2016;label;Alina Engibaryan (Vocals),Arthur Hnatek (Drums),Jorge Castaneda (Piano),Andrea Caruso (Ba
Montreux Jazz Academy Project ;2016;label;Pedro Martins (Guitar),Vuyo Sotashe (Vocals),Yumi Ito (Vocals),Yaron Herman (Piano),Joe Martin (Contrebasse),Ziv Ravitz (Drums
Terence Blanchard ;2019;label;"Terence Blanchard (),Jean Toussaint (),Charles Altura (),Gerald Clayton (),David Ginyard,Jr. (),Tabari Lake (),Jeff ""Tain"" Watts"
The Chieftains ;1975;label;Paddy Moloney (Uillean pipes),Derek Bell (oboe,Martin Fay (fiddle),Sean Keane (fiddle,tin whistle),Peadar Mercier (bodhran,Sean Potts (bodhran,tin whistle),Michael Tubridy (fl,concertina)      
Erik Truffaz Feat. Ed Harcourt ;2007;label;Erik Truffaz (trumpet),Marcello Giuliani (bass),Marc Erbetta (drums),Patrick Muller (fender rhodes,Ed Harcourt (vocals,Nya (guest) (voca
Robert Randolph and The Family Band ;2011;label;Robert Randolph (lead vocal,pedal steel guitar),Brett Haas (guitar,Danyel Morgan (bass,Alaina Terry (keys,Carlton Campbell 
Pepe Lienhard ;2010;label;Pepe Lienhart (musical director),Adrian Pflugshaupt (alto sax),Fabian Capaldi (alto sax),Alex Hendriksen (tenor sax),Cedric Gschwind (tenor sax),Philipp Z'rotz (baryton sax),Frank Wellert (lead trumpet),Jorg Brohm (trumpet),Adrian Eugster (trumpet),Balthasar Streit (trumpet),Marc Jaussi (trumpet),Edgar Schmid (trombone),Vincent Lachat (trombone),Gilbert Tinner (trombone),Roman Heiniger (bass trombone),Gregor Muller (piano),Jonathan Hossmann (guitar),Bjorn Baumgartner (bass),Tobias Friedli (drums),Marc Sway (vocals),Kirsty Bertarelli (vocals),Max Herre (vocals),Petula Clark (vocals),Seven (vocals),Joy Denalane (vocals),Klaus Doldinger (saxophone),Stefanie Heinzmann (vocals),Roger Cicero (vocals),Alfonso Garrido (percussion),Bruno Muller (guitar),Claudia Fontaine (back vocals),Claus Fischer (bass),Leyla Suber (backing vocals),Wolfgang Haffner (coordination),Wolfgang Norman D
Tedeschi Trucks Band ;2014;label;Derek Trucks (Lead guitar),Susan Tedeschi (Lead Vocals/Guitar),Kofi Burbridge (Keys/Flute),Tim LeFebvre (Bass Guitar),Tyler Greenwell (Drums/Percussion),JJ Johnson (Drums/Percussion),Mark Rivers (Vocals),Mike Mattison (Vocals),Kebbi Williams (Saxophone),Maurice Brown (Trumpet),Saunders Sermons 
