University Of Texas Arlington Jazz Band ;guest;label;University Of Texas Arlington Jazz Band (),Clark Terry ()   
Concord Jazz In Montreux ;Quartet;label;Scott Hamilton (ts),Jake Hanna (dr),Dave McKenna (p),Herb Ellis (g)   
Concord Jazz In Montreux ;Quartet;label;Scott Hamilton (ts),Jake Hanna (dr),Dave McKenna (p),Herb Ellis (g)   
Concord Jazz In Montreux ;Quartet;label;Scott Hamilton (ts),Jake Hanna (dr),Dave McKenna (p),Herb Ellis (g)   
Concord Jazz In Montreux ;Four;label;Jeff Hamilton (dr),Ray Brown (b),Laurindo Almeida (g),Bud Shank (as)   
Concord Jazz In Montreux ;Four;label;Jeff Hamilton (dr),Ray Brown (b),Laurindo Almeida (g),Bud Shank (as)   
Concord Jazz In Montreux ;Four;label;Jeff Hamilton (dr),Ray Brown (b),Laurindo Almeida (g),Bud Shank (as)   
Concord Jazz In Montreux ;Four;label;Jeff Hamilton (dr),Ray Brown (b),Laurindo Almeida (g),Bud Shank (as)   
Concord Jazz In Montreux ;Sextette;label;Cal Collins (g),Scott Hamilton (ts),Jake Hanna (dr),Dave McKenna (p),Michael Moore (b),Warren Vache (ct,flh)             
Concord Jazz In Montreux ;Sextette;label;Cal Collins (g),Scott Hamilton (ts),Jake Hanna (dr),Dave McKenna (p),Michael Moore (b),Warren Vache (ct,flh)             
Concord Jazz In Montreux ;Octet;label;Cal Collins (g),Scott Hamilton (ts),Jake Hanna (dr),Dave McKenna (p),Michael Moore (b),Warren Vache (ct,Snooky Young (tp,Marshall Royal (a
Concord Jazz In Montreux ;Octet;label;Cal Collins (g),Scott Hamilton (ts),Jake Hanna (dr),Dave McKenna (p),Michael Moore (b),Warren Vache (ct,Snooky Young (tp,Marshall Royal (a
Count Basie And His Orchestra ;1979;label;Count Basie (p,John Clayton (b),Ray Brown (tp),Eric Dixon (s),Dennis Wilson (tb),Bobby Plater (s),Sonny Cohn (tp),Freddie Green (g),Butch Miles (dr),Pete Minger (tp),Paul Cohen (tp),Bill Hugues (tb),Mel Wanyo (tb),Booty Mitchell Wood Jr. (tb),Charles Fowles (s),Kenny K Hing (s),Danny Turner (s),Dennis Rowland (v
Champion Jack Dupree ;1979;label;Champion Jack Dupree (p,voc)             
Dennis Brown and Band ;1979;label;Dean Fraser (s),Dennis Brown (voc,Lloyd Parks (b),Frankie Waul (kbds),Winston Bowell (g),Lloyd Kerr (tb),Devon Richards (dr),Ruddy Thomas (perc),Ronald Robinson (tb),Junior Chin (tp),Earl Smith (ld g)
Doc Watson and Merle - Afternoon ;1979;label;Doc Watson (g,Merle Watson (slide g),Michael Coleman (
Ed Brickert Trio ;1979;label;Ed Bickert (g),Terry Clarke (dr),Don Thompson (b) 
Ella Fitzgerald ;1979;label;Count Basie (p),Ella Fitzgerald (
Fusion ;1979;label;Wolfgang Paul (g,Philippe Racine (fl,Niggi Tamm (kbds),Rollo Studer (b),Thommy Otte (dr) 
Rory Gallagher And His Band ;1979;label;Rory Gallagher (g,Gerry McAvoy (b),Ted McKenna (dr) 
