DJ James Holroyd ;2007;label;James Holroyd (tu
The Good ;Queen;label;Damon Albarn (vocals,Paul Simonon (bass),Simon Tong (guitar),Tony Allen (drums),Mike Smith (keyboards),Isabelle Dunn (cello),Pagulatos Antonia (violin),Sato Kotono (violin),Stella Page (viola),Khodur Eslam (voc
Kristin Berardi ;2007;label;Berardi Kristin (vocals),James Sherlock (g
"Fauve &amp; Raphelson &amp; Lausanne Sinfonietta ";2007;label;Fauve (kalimba,Raphelson (vocals,wurlitzer piano),Sophie Hunger (vocals,John Parish (guitar,Erik Truffaz (trumpet),Lausanne Sinfonietta (orchestre),Rody Frederic (musical director),Alberto Malo (drums,Fleutelot Bruno (bass),Guillaune Conne (guitar,piano)           
Beverly Knight ;2007;label;Beverley Knight (vocals),Kingsley Ashley (keyboards),Paul Reid (guitar),Paul Bruce (bass),Darren Abraham (drums),Billie Godfrey (backing vocals),Pearce Mary (backing vocals),Bryan Chambers (b
Francis Hime ;2007;label;Francis Hime (vocals. keyboards),Israel Dantas (violin,Joao Carlos Coutinho (keyboards,Marcio Mallard (cello),Vargas Reginaldo (percussion),Romulo De Gomes (double-bass),Carlos Balla (dru
M. Ward ;2007;label;Ward M. (vocals,guitar)          
"Gianna Nannini &amp; The Primadonnas ";1984;label;Gianna Nannini (voc,Pino Scagliarni (kbds),Claudio Cattafesta (g),Remo Kessler (g),Felice Muller (b),Freddy Steady (dr
Wu-Tang Clan ;2007;label;Rza (MC),Ghostface Killah (MC),Inspectah Deck (MC),Raekwon (MC),U-God (MC),Masta Killa (MC),Method Man (MC),Cappadonna (MC),Gza (MC),Dj Mathematics (M
The B 52's ;2007;label;Cindy Wilson (vocals),Kate Pierson (vocals),Fred Schneider (vocals),Keith Strickland (guitar),Tracy Wormworth (bass),Paul Gordon (keyboards,Sterling Campbell
Abd Al Malik ;2007;label;Al Malik Abd (vocals),Bilal (turntable,Laurent De Wilde (piano,fender rhodes),Julien Charlet (drums),Gerard Carocci (percussion),Marches Manuel (d
The Harmony Harmoneers ;2006;label;W. Michael Turner Jr (vocals),Turner Calvin (vocals),Andrew Turner (vocals),langston Clarence
Curtis Stigers ;2006;label;Curtis Stigers (sax,Keith Hall (drums),Philip Palombi (bass),Matthew Fries (pi
Amon Tobin ;2006;label;Amon Tobin (turnt
Harold Lopez-Nussa Torres ;2005;label;Lopez-Nussa Torre
"Omara Portuondo &amp; Lausanne Sinfonietta ";2006;label;Omara Portuondo (lead vocal),Robertico Garcia (trumpet,Liang Chaing (bongos,Coayo Andres (timbales,minor percussions),Jorge Chicoy (electric guitar),Swami Jr. (7 strings guitar),Morales Emilio (piano),Garcia Fabian (double bass),Valdes Osiris (violin,Vistel Columbie Rodolfo (strings conductor),Lausanne Sinfonie
David Walters ;2006;label;David Walters (vocals,human beat-box)  
