Amampondo ;1997;label;Brice Wassy (dr),Byron Wallen (tp.),Dizu Plaatjies (voc,Simpiwe Matole (s,Mzwandile Qotoyi (b,african dr,Michael Ludonga (african dr,Mandla Lande (african dr,Blackie Mbizela (b,Lungiswa Plaatjies (voc,Nondzondelelo Galada (voc,Nonhle Sylvester (voc,Mantombi Matotiyane (voc,Mabi Thobejane (a
Charles Aznavour ;1997;label;Charles Aznavour (voc.),George Duke (kbds.),Lucas Schmidt (btp.),Frank Chastenier (p.),John Goldsby (b.),Milan Lulic (g.),Jeff Hamilton (dr.),Brian Simpson (kbds.),John Roberts (dr.),Larry Kimpel (b.),Mino Cinelu (voc. perc.),Patti Austin (voc.),Rachelle Ferrell (voc.),Lambert Wilson (voc.),David Soul (voc.),Jolie Jones (voc.),Manu Dibango (voc. sax.),Bobby McFerrin (voc.),Jonathan Butler (g. voc.),Bernt Laukamp (tp.),Ludwig Nuss (tp.),Dave Horler (tp.),Heiner Wiberny (1as.),Harald Rosenstein (2as.),Olivier Peters (1ts.),Rolf Roemer (2ts.),Jens Neufang (bs.),Rudiger Baldauf (tp.),Rob Bruyen (tp.),Klaus Osterloh (tp.),John Marshall (tp
Al Copley ;1997;label;Al Copley (Piano/
Angelique Kidjo ;1997;label;Angelique Kidjo (lead voc.),Thierry Fanfant (music dir,Latabi Diouani (dr),Sylvia Laube (back voc.),Jean-Luc Leonardon (kbds),Charles Henri Obin-Yapi (perc),Michael Robinson 
Jorge Benjor ;1997;label;Jorge Ben Jor (voc. g.),Roberto Silva (tb.),Eduardo Helbourn (dr.),Adriana Mezzadri (back voc.),Flavia Kalak (back voc.),J. J. Lucrecio (b.),Nelson Guimaraes (perc.),Laerke Ringstea (perc.),Lourival Costa (key.),Jean Arnoult (sax
Blues Traveler ;1997;label;John Popper (voc. hca.),Chan Kinchla (g.),Bob Sheehan (b.),Brandan Hill (dr.
Bobby McFerrin And Circlesongs ;1997;label;Bobby McFerrin (voc.),Mark Ledford (voc.),Nick Bearde (voc.),Joey Blake (voc.),Pierre Cook (voc.),Julee Cruise (voc.),Sussan Deyhim (voc.),Kirsten Falke (voc.),Beth Ann Quist (voc.),Rhiannon (voc.),Marlon Saunders (voc.),David Worm (voc.)
Brad Mehldau ;1997;label;Brad Mehldau (pia
Carlinhos Brown ;1997;label;Carlinhos Brown (voc),Toni Duarte (b),Leo Bit Bit (perc),Luciano Silva (s),Zito Moura (kbds),Juninho Costa (g),Boghan Costa (perc),Binho (perc),Orlandinho (perc),Leila Gomes (back voc),Cilene De Brito (back voc),Sissi Melo (back voc),Roseval Evangelista (g),Guiga Scott (tp),Gerson Barbosa (tb),Claudio Borrelli 
Bela Fleck and The Flecktones ;1997;label;Victor Wooten (b.),Jeff Coffin (sax.),Bela Fleck (banjo),Futureman (drumit
Larry Carlton ;1997;label;Larry Carlton (g.),Moyes Lucas (dr.),Rick Jackson (kbds.),Chris Kent (b.),Jean-Michel Kajda
Ray Charles ;1997;label;Ray Charles (kbds,Ernest Vantrease (kbds.),Charles Johnson (ts),Alford Jackson (as,Steven Elliott (as),Tonett Mckinney (voc.),Karen Evans (voc.),Katrina Harper (voc.),James Farnsworth (bs),William Waters (ts),Ted Murdock (tp),David Hoffmann (tp),Kenneth Scharf (tp),Steve Sigmund (tb),Michel Laewrey (tb),Kenneth Carr (g),Peter Turre (dr),Kathy Mackey (voc),Estella Yarbrough (voc.),Tom Fowler (b),Roger Imgram (tp)
Chick Corea And Gary Burton ;1997;label;Chick Corea (p),Gary Burton (vibe
Legends (Clapton ;Miller;label;Marcus Miller (Elec.Bass / Bass Clar.),Eric Clapton (Elec.Guitar),David Sanborn (A.Sax),Joe Sample (Piano),Steve Gadd (Drums
B.B. King ;1997;label;B.B. King (g.),Tony Coleman (drums.),Stanley Abernathy (tp.),James Bolden (tp. (music dir.)),Melvin Jackson (s.),Leon Warren (ryt.g.),James Toney (kbds.),Calep Emphrey Jr (drums.),Michel Doster (bass),Jeff Healey (),Ronnie Earl (),Al Copley (),Claude Nobs ()   
Jeff Healey and Al Copley ;1997;label;Al Copley (p.),Jeff Healey (g.) 
Canton Spirituals ;1997;label;Harvey Watkins Jr. (lead voc.),Cornelius Watkins (voc. lead g.),Merlin Lucious (voc,Victor Allen (voc,Wallace Strickland (voc,Theo Thompson (voc.),Norman Williams (org.),Marzel Richardson
Chico Cesar ;1997;label;Chico Cesar (voc.),Swami Jr. (b. 7 strings g.),Simone Julian (s. fl.),Tata Fernandes (voc.),Marcelo Cotarelli (tp.),Hugo Hori (as.),Tiquinho (tb.),Webster Santos (g. bandolim),Simone Soul (perc. dr.),Mauro Sanches (pe
Danilo Perez Trio ;1997;label;Jeff Ballard (dr),Danilo Perez (p),Avishai Cohen (b)
DAVID BYRNE ;1997;label;David Byrne (g. voc.),Bruce Kaphan (pedal steel,g. kbds.),Desmond Foster (b. g. voc.),Ingy Klemets (back voc.),Rea Mochiach (loops,prog. dr.)       
Dixie Humminbird ;1997;label;Ira Tucker (voc.),Howard Carroll (g,Paul Owens (voc.),Carl Davis (voc.)
Djavan ;1997;label;Djavan (g,Armando Marcal (perc),Carlos Bala (dr),Walmir Gil (tp),Francois Lima (tb),Marcelo Martins (s,Glauton Campello (kbds),Marcelo Mariano (
Diana Krall ;1997;label;Russell Malone (g),Diana Krall (voc,Neal Caine (b)   
Don Byron's Bug Music ;1997;label;Ben Perowsky (dr.),Don Byron (cl. director),Bob Debellis (as.),James Zollar (tp.),Charles Lewis (tp.),Uri Caine (p.),Drew Gress (b.)  
E O Tchan ;1997;label;Carlinhos Brown (bandolin),Serginho (voc. perc.),Beto Jamaica (voc.),Magno (dr.),Mister Putuca (perc.),Tiao (perc.),Edinho (perc.),Fernando Padre (key),Ito (sax),Cassia Aguiar (back voc.),Silvana (back voc.),Edson Jacare (dance),Carla Perez (dance),Compadre Washingt
Earth ;Fire;label;Sonny Emory (dr),Philip Bailey (lead voc,Ray Brown (tp.),Morris Pleasure (kbds,musical dir.),Gary Bias (s.),Sheldon Reynolds (lead voc,Verdine White (b),Ralph Johnson (voc,Mike Mcknight (kbds.),David Romero (perc.),B. David Whithworth (voc,Reggie Young (tb.),Dee Dee Weathers (dancer),Kayusha Simpson (
Emerson ;Palmer;label;Keith Emerson (kbds.),Greg Lake (b,Carl Palmer (dr.)
Ernest Ranglin ;1997;label;Ernest Ranglin (g.),Ira Coleman (b.),Dion Parson (dr.),Laurent de Wilde 
F.F.F. ;1997;label;Marco Prince (lead voc.),Yarol Poupaud (g.),Niktub Baby (b),Krishou Monthieux (drums.),R. V. Bouffartigu
