AYO ;2014;label;Ayo,Guillaume Poncelet,Christopher Thomas,Charles Haynes,Sherrod Barnes
Norma Jean Martine ;2013;label;Norma Jean Martine,Rick Hornby
Agnes Obel ;2014;label;Agnes Obel,Anne Muller,Charlotte Danhier,Sophie Bayet
Olafur Arnalds ;2014;label;Olafur Arnalds,Siun Milne,Bjork Oskarsdottir,Karl Pestka,Hallgrimur Jensson,Arnor Dan Arnarson
Bastian Baker ;2012;label;Bastian Baker,Joris Amann,Nathan Bonjour,Simon Jaccard,Christophe Zindel,Phil Paris
Chris Rea ;1984;label;Chris Rea,Martin Ditcham,Kevin Leach,Graham Watson,Jerry Stevenson,Kevin Powell,Jeff Seopardie
Selah Sue ;2014;label;Selah Sue,Joachim Saerens,Yannick Werther,Jordi Geuens,Erik Rademakers
