POLAR BEAR: HELD ON THE TIPS OF FINGERS;2004;BABEL;Sebastian Rochford, Pete Wareham, Mark Lockheart, Tom Herbert, Leafcutter John, Jonny Philips, Ingrid Laubrock, Joe Bentley, Emma Smith, Hannah Marshall
THE BAD PLUS: THESE ARE THE VISTAS;2003;COLUMBIA;Ethan Iverson, Reid Anderson, David King
COURTNEY PINE: JOURNEY TO THE URGE WITHIN;1986;ANTILLES;Courtney Pine, Kevin Robinson, Ray Carless, Orphy Robinson, Julian Joseph, Roy Carter, Gary Crosby, Mark Mondesir, Cleveland Watkiss, Susaye Greene
MEDESKI, MARTIN AND WOOD: COMBUSTICATION;1998;BLUE NOTE;John Medeski, Chris Wood, Billy Martin, DJ Logic
WYNTON MARSALIS: BLACK CODES FROM THE UNDERGROUND;1985;COLUMBIA;Wynton Marsalis, Branford Marsalis, Kenny Kirkland, Charnett Moffett,  Jeff Watts
CASSANDRA WILSON: BLUE LIGHT �TIL DAWN;1993;BLUE NOTE;Cassandra Wilson, Charlie Burham, Brandon Ross, Gib Walton, Chris Whitley, Kenny Davis, Lonnie Plaxico, Kevin Johnson, Lance Carter, Cyro Baptista, Bill McClellan
JAN JOHANSSEN: JAZZ PA SVENSKA;1962;MEGAFON;Jan Johansson, Georg Riedel
SARAH VAUGHAN: SARAH VAUGHAN;1954;EMARCY;Sarah Vaughan, Clifford Brown, Herbie Mann, Paul Quinichette, Jimmy Jones, Joe Benjamin, Roy Haynes
MUSIC IMPROVISATION COMPANY: MUSIC IMPROVISATION COMPANY;1970;ECM;Jamie Muir, Hugh Davies, Evan Parker, Derek Bailey, Christine Jeffrey
CHARLIE HADEN: LIBERATION MUSIC ORCHESTRA;1969;IMPULSE!;Charlie Haden, Don Cherry, Michael Mantler, Roswell Rudd, Bob Northern, Howard Johnson, Perry Robinson, Gato Barbieri, Dewey Redman, Sam Brown, Carla Bley, Paul Motian, Andrew Cyrille
JACKIE MCLEAN: LET FREEDOM RING;1962;BLUE NOTE;Jackie McLean, Walter Davis, Herbie Lewis, Billy Higgins
JOE HARRIOTT-JOHN MAYER DOUBLE QUINTET: INDO-JAZZ SUITE;1965;EMI COLUMBIA;Joe Harriott, Kenny Wheeler, Pat Smythe, Coleridge Goode, Allan Ganley, John Mayer, Chris Taylor, Diwan Motihar, Chandrahas Paiganka, Keshan Sathe
DJANGO REINHARDT: R�TROSPECTIVE 1934-53;1953;SAGA;Django Reinhardt, Loulou Gast�, Joseph Reinhardt, Emmanuel V�es, Louis Vola, Coleridge Goode, Hubert Rostaing, Andr� Ekyan, Alix Combelle, Gianni Safrred, Aurelia de Carolis
STEPS AHEAD: STEPS AHEAD;1983;ELEKTRA/MUSICIAN;Michael Brecker, Eliane Elias, Mike Mainieri, Eddie Gomez, Peter Erskine
KRZYSZTOF KOMEDA: ASTIGMATIC;1965;POLSKIE - NAGRANIA MUZA;Krzysztof Komeda, Tomasz Stanko, Zbigniew Namyslowski, Gunter Lenz, Rune Carlsson
ANTHONY BRAXTON: FOR ALTO;1969;DELMARK;Anthony Braxton
DIANA KRALL: LOVE SCENES;1997;IMPULSE!;Diana Krall, Russell Malone, Christian McBride
