Eddie Harris Quartet ;1969;label;Melvin Jackson,Eddie Harris,Jodie Christian,Billy Hart
;;;
Eero Koivistoinen Quartet ;1969;label;Reino Laine,Eero Koivistoinen,Penti Hietanen,Ilkka Willman
;;;
Ella Fitzgerald ;1969;label;Ella Fitzgerald,Tommy Flanagan,Frank De La Rosa,Ed Thigpen
;;;
Finn Ziegler Quartet ;1969;label;Finn Ziegler,Ole Kock Hansen,Hugo Rasmussen,Bjarne Rostvold
;;;
Frode Thingnes Sextet ;1969;label;Frode Thingnes,Erik Andresen,Elge Hurum,Terje Bjorklund,Tore Nordlie,Svein Christiansen
;;;
"Hans Kennel &amp; Bruno Spoerri Sextet ";1969;label;Bruno Spoerri as, ts,,Hans Kennel,David Lee,Raffael Waeber,Hans Foletti,Kenny Schmidt
;;;
Heavy Soul Inc. ;1969;label;Hans Dulfer,Willem Van Manen,Altena Van Regteren,Han Bennink,Steve Boston
;;;
Ian Henry Quartet ;1969;label;Louis Stewart,John Wadham,Ian Henry,Martin Walsh
;;;
Jazz Sanatorium Praha ;1969;label;Karel Ruzicka,Zdenek Pulec,Eugen Jegorov,Vincenc Kummer,Vladimir Zizka
;;;
Kenny Burrell ;1969;label;Kenny Burrell,Richard Wyand,Reggie Johnson,Jimmy Cobb
;;;
Les McCann and Les Mccann Ltd. ;1969;label;Les McCann,Leroy Vinnegar,Donald Dean
;;;
Nunzio Rotondo Quartette ;1969;label;Nunzio Rotondo,Franco D'andrea,Dodo Goya,Franco Mondini
;;;
Phil Woods and His European Rhythm Machine ;1969;label;George Gruntz,Phils Woods,Henri Texier,Daniel Humair
;;;
Rudolf Tomsits Quartet ;1969;label;Rudolf Tomsits,Balazs Berkes,Vukan Gyorgy,Tamas Rosenberg
;;;
Ten Years After ;1969;label;Chick Corea,Alvin Lee,Leo Lyons,Ric Lee
;;;
The Old Gossips ;1969;label;Predrag Ivanovic,Milivoje Markovic,Vladimir Vitas,Zoran Jovanovic,Bratislav Godel,Radomir Milivojevic
;;;
Trio Michel Roques ;1969;label;Michel Roques,Benoit Charvet,Jean-Francois Manzecchi
;;;
Volker-Kriegel Quartett ;1969;label;Volker Kriegel,Dave Pike,Hans Rettenbacher,Peter Baumeister
;;;
Erich Kleinschuster Sextett ;1970;label;Erich Kleinschuster,Art Farmer,Hans Salomon ts,,Fritz Pauer,Peter Marshall,Erich Bachtragl
;;;
Art Farmer ;1970;label;Art Farmer
;;;
Bill Evans Trio ;1970;label;Bill Evans,Eddie Gomez,Marty Morell
;;;
Champion Jack Dupree ;1970;label;Champion Jack Dupree
;;;
Chicken Shack ;1970;label;Stan Webb,Andy Silvester,Dave Bidwell
;;;
Chico O'Farrill ;1970;label;Chico O'Farrill
;;;
Chris Hinze Quartet ;1970;label;Chris Hinze,Henk Alkema,Rob Langereis,Peter Van De Wal Ypma
;;;
DDT Jazzband ;1970;label;Rick Wahlstein,Fred Andersson,Sven Svard,Christer Sandell,Timo Peltoniemi,Pentti Mutikainen,Christian Schwindt
;;;
Dexter Gordon ;1970;label;Dexter Gordon
;;;
Dexter Gordon With Junior Mance Trio ;1970;label;Junior Mance,Martin Rivera,Oliver Jackson
;;;
